,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.7,SC,Female,White,Larynx
1,2000,1.9,SC,Female,White,Larynx
2,2001,2.2,SC,Female,White,Larynx
3,2002,2.0,SC,Female,White,Larynx
4,2003,2.0,SC,Female,White,Larynx
5,2004,1.3,SC,Female,White,Larynx
6,2005,2.2,SC,Female,White,Larynx
7,2006,1.8,SC,Female,White,Larynx
8,2007,2.3,SC,Female,White,Larynx
9,2008,2.5,SC,Female,White,Larynx
10,2009,2.1,SC,Female,White,Larynx
11,2010,2.3,SC,Female,White,Larynx
12,2011,2.0,SC,Female,White,Larynx
13,2012,2.3,SC,Female,White,Larynx
14,2013,1.9,SC,Female,White,Larynx
15,2014,1.9,SC,Female,White,Larynx
16,2015,1.9,SC,Female,White,Larynx
0,2016,1.9240785255859594,SC,Female,White,Larynx
1,2017,1.6042993081012722,SC,Female,White,Larynx
2,2018,0.7494502177639214,SC,Female,White,Larynx
3,2019,1.13474959676449,SC,Female,White,Larynx
4,2020,0.9063649787649757,SC,Female,White,Larynx
5,2021,1.0112184565623297,SC,Female,White,Larynx
6,2022,0.5071320059857436,SC,Female,White,Larynx
7,2023,0.5152748626913966,SC,Female,White,Larynx
8,2024,0.13125575998003902,SC,Female,White,Larynx
9,2025,0.4521843516793853,SC,Female,White,Larynx
