,Year,Lung,State,Gender,Race,Cancer
0,1999,111.6,SC,Male,White,Lung
1,2000,102.9,SC,Male,White,Lung
2,2001,107.2,SC,Male,White,Lung
3,2002,107.9,SC,Male,White,Lung
4,2003,107.8,SC,Male,White,Lung
5,2004,104.7,SC,Male,White,Lung
6,2005,108.2,SC,Male,White,Lung
7,2006,106.7,SC,Male,White,Lung
8,2007,109.1,SC,Male,White,Lung
9,2008,106.0,SC,Male,White,Lung
10,2009,106.5,SC,Male,White,Lung
11,2010,102.9,SC,Male,White,Lung
12,2011,103.7,SC,Male,White,Lung
13,2012,104.9,SC,Male,White,Lung
14,2013,100.8,SC,Male,White,Lung
15,2014,106.4,SC,Male,White,Lung
16,2015,102.1,SC,Male,White,Lung
0,2016,104.6206356882521,SC,Male,White,Lung
1,2017,95.35861411579252,SC,Male,White,Lung
2,2018,18.19383030035806,SC,Male,White,Lung
3,2019,68.31085215130553,SC,Male,White,Lung
4,2020,0.0,SC,Male,White,Lung
5,2021,76.88346400941572,SC,Male,White,Lung
6,2022,0.0,SC,Male,White,Lung
7,2023,103.79400095582105,SC,Male,White,Lung
8,2024,0.0,SC,Male,White,Lung
9,2025,165.44842242510492,SC,Male,White,Lung
