,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.5,SC,Male,White,Larynx
1,2000,9.1,SC,Male,White,Larynx
2,2001,10.4,SC,Male,White,Larynx
3,2002,9.8,SC,Male,White,Larynx
4,2003,10.0,SC,Male,White,Larynx
5,2004,8.6,SC,Male,White,Larynx
6,2005,9.2,SC,Male,White,Larynx
7,2006,9.8,SC,Male,White,Larynx
8,2007,9.1,SC,Male,White,Larynx
9,2008,8.9,SC,Male,White,Larynx
10,2009,8.9,SC,Male,White,Larynx
11,2010,10.2,SC,Male,White,Larynx
12,2011,9.2,SC,Male,White,Larynx
13,2012,9.3,SC,Male,White,Larynx
14,2013,8.4,SC,Male,White,Larynx
15,2014,8.9,SC,Male,White,Larynx
16,2015,9.7,SC,Male,White,Larynx
0,2016,8.921304909372445,SC,Male,White,Larynx
1,2017,7.8895628290122435,SC,Male,White,Larynx
2,2018,7.7075700921950645,SC,Male,White,Larynx
3,2019,7.787471189141643,SC,Male,White,Larynx
4,2020,4.594858121939,SC,Male,White,Larynx
5,2021,1.9096968209615257,SC,Male,White,Larynx
6,2022,4.633098898896554,SC,Male,White,Larynx
7,2023,1.8765041432582965,SC,Male,White,Larynx
8,2024,3.2901686132898535,SC,Male,White,Larynx
9,2025,0.0,SC,Male,White,Larynx
