,Year,Lung,State,Gender,Race,Cancer
0,1999,62.9,TN,Male,Black or African American,Lung
1,2000,52.5,TN,Male,Black or African American,Lung
2,2001,50.7,TN,Male,Black or African American,Lung
3,2002,60.6,TN,Male,Black or African American,Lung
4,2003,60.5,TN,Male,Black or African American,Lung
5,2004,74.1,TN,Male,Black or African American,Lung
6,2005,75.9,TN,Male,Black or African American,Lung
7,2006,66.2,TN,Male,Black or African American,Lung
8,2007,64.8,TN,Male,Black or African American,Lung
9,2008,64.7,TN,Male,Black or African American,Lung
10,2009,78.8,TN,Male,Black or African American,Lung
11,2010,72.9,TN,Male,Black or African American,Lung
12,2011,76.2,TN,Male,Black or African American,Lung
13,2012,74.6,TN,Male,Black or African American,Lung
14,2013,66.5,TN,Male,Black or African American,Lung
15,2014,66.9,TN,Male,Black or African American,Lung
16,2015,71.4,TN,Male,Black or African American,Lung
0,2016,75.04281415012167,TN,Male,Black or African American,Lung
1,2017,33.33572596974726,TN,Male,Black or African American,Lung
2,2018,50.136312077436514,TN,Male,Black or African American,Lung
3,2019,40.02161830528591,TN,Male,Black or African American,Lung
4,2020,44.68388586381096,TN,Male,Black or African American,Lung
5,2021,29.796720402952523,TN,Male,Black or African American,Lung
6,2022,12.070505837737802,TN,Male,Black or African American,Lung
7,2023,17.003774573265012,TN,Male,Black or African American,Lung
8,2024,15.656273804475411,TN,Male,Black or African American,Lung
9,2025,15.565486263661366,TN,Male,Black or African American,Lung
