,Year,Lung,State,Gender,Race,Cancer
0,1999,56.6,TN,Female,White,Lung
1,2000,59.4,TN,Female,White,Lung
2,2001,60.7,TN,Female,White,Lung
3,2002,68.3,TN,Female,White,Lung
4,2003,71.7,TN,Female,White,Lung
5,2004,72.7,TN,Female,White,Lung
6,2005,76.2,TN,Female,White,Lung
7,2006,77.9,TN,Female,White,Lung
8,2007,79.1,TN,Female,White,Lung
9,2008,81.6,TN,Female,White,Lung
10,2009,83.0,TN,Female,White,Lung
11,2010,81.9,TN,Female,White,Lung
12,2011,82.9,TN,Female,White,Lung
13,2012,87.1,TN,Female,White,Lung
14,2013,84.0,TN,Female,White,Lung
15,2014,85.9,TN,Female,White,Lung
16,2015,92.9,TN,Female,White,Lung
0,2016,85.82538556490752,TN,Female,White,Lung
1,2017,69.55083779267478,TN,Female,White,Lung
2,2018,122.35010899532404,TN,Female,White,Lung
3,2019,0.0,TN,Female,White,Lung
4,2020,88.15171437736456,TN,Female,White,Lung
5,2021,91.03563806443738,TN,Female,White,Lung
6,2022,0.0,TN,Female,White,Lung
7,2023,430.2837111378551,TN,Female,White,Lung
8,2024,0.0,TN,Female,White,Lung
9,2025,0.0,TN,Female,White,Lung
