,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.9,TN,Male,White,Larynx
1,2000,7.7,TN,Male,White,Larynx
2,2001,8.5,TN,Male,White,Larynx
3,2002,7.1,TN,Male,White,Larynx
4,2003,8.4,TN,Male,White,Larynx
5,2004,10.2,TN,Male,White,Larynx
6,2005,9.4,TN,Male,White,Larynx
7,2006,8.8,TN,Male,White,Larynx
8,2007,10.0,TN,Male,White,Larynx
9,2008,8.1,TN,Male,White,Larynx
10,2009,8.7,TN,Male,White,Larynx
11,2010,10.1,TN,Male,White,Larynx
12,2011,9.3,TN,Male,White,Larynx
13,2012,9.4,TN,Male,White,Larynx
14,2013,9.4,TN,Male,White,Larynx
15,2014,8.1,TN,Male,White,Larynx
16,2015,7.9,TN,Male,White,Larynx
0,2016,9.102270314065269,TN,Male,White,Larynx
1,2017,5.752605758391503,TN,Male,White,Larynx
2,2018,6.327790475429957,TN,Male,White,Larynx
3,2019,4.689293743406983,TN,Male,White,Larynx
4,2020,6.23193878665661,TN,Male,White,Larynx
5,2021,5.745850106678625,TN,Male,White,Larynx
6,2022,1.8828657777445037,TN,Male,White,Larynx
7,2023,2.762288886674966,TN,Male,White,Larynx
8,2024,1.6513149905302376,TN,Male,White,Larynx
9,2025,0.6800459846474842,TN,Male,White,Larynx
