,Year,Lung,State,Gender,Race,Cancer
0,1999,75.5,TX,Male,Black or African American,Lung
1,2000,74.7,TX,Male,Black or African American,Lung
2,2001,69.4,TX,Male,Black or African American,Lung
3,2002,68.8,TX,Male,Black or African American,Lung
4,2003,76.2,TX,Male,Black or African American,Lung
5,2004,69.7,TX,Male,Black or African American,Lung
6,2005,70.8,TX,Male,Black or African American,Lung
7,2006,64.5,TX,Male,Black or African American,Lung
8,2007,66.8,TX,Male,Black or African American,Lung
9,2008,66.3,TX,Male,Black or African American,Lung
10,2009,60.5,TX,Male,Black or African American,Lung
11,2010,55.3,TX,Male,Black or African American,Lung
12,2011,58.2,TX,Male,Black or African American,Lung
13,2012,58.2,TX,Male,Black or African American,Lung
14,2013,58.7,TX,Male,Black or African American,Lung
15,2014,55.7,TX,Male,Black or African American,Lung
16,2015,53.5,TX,Male,Black or African American,Lung
0,2016,52.77056312964689,TX,Male,Black or African American,Lung
1,2017,23.03992306698149,TX,Male,Black or African American,Lung
2,2018,24.051960206379754,TX,Male,Black or African American,Lung
3,2019,23.362101548457737,TX,Male,Black or African American,Lung
4,2020,8.210263427905241,TX,Male,Black or African American,Lung
5,2021,0.0,TX,Male,Black or African American,Lung
6,2022,0.3435465820631176,TX,Male,Black or African American,Lung
7,2023,1.1754342376317979,TX,Male,Black or African American,Lung
8,2024,0.0,TX,Male,Black or African American,Lung
9,2025,0.0,TX,Male,Black or African American,Lung
