,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.8,TX,Male,Black or African American,Larynx
1,2000,7.4,TX,Male,Black or African American,Larynx
2,2001,8.8,TX,Male,Black or African American,Larynx
3,2002,8.8,TX,Male,Black or African American,Larynx
4,2003,8.4,TX,Male,Black or African American,Larynx
5,2004,9.1,TX,Male,Black or African American,Larynx
6,2005,7.6,TX,Male,Black or African American,Larynx
7,2006,6.9,TX,Male,Black or African American,Larynx
8,2007,7.5,TX,Male,Black or African American,Larynx
9,2008,7.5,TX,Male,Black or African American,Larynx
10,2009,7.3,TX,Male,Black or African American,Larynx
11,2010,5.5,TX,Male,Black or African American,Larynx
12,2011,5.8,TX,Male,Black or African American,Larynx
13,2012,6.0,TX,Male,Black or African American,Larynx
14,2013,6.4,TX,Male,Black or African American,Larynx
15,2014,5.6,TX,Male,Black or African American,Larynx
16,2015,5.2,TX,Male,Black or African American,Larynx
0,2016,4.578799782751142,TX,Male,Black or African American,Larynx
1,2017,3.5862874840050054,TX,Male,Black or African American,Larynx
2,2018,5.1955841674410355,TX,Male,Black or African American,Larynx
3,2019,3.964727104256723,TX,Male,Black or African American,Larynx
4,2020,1.3226671620393682,TX,Male,Black or African American,Larynx
5,2021,0.9085057767626705,TX,Male,Black or African American,Larynx
6,2022,1.0303232629889658,TX,Male,Black or African American,Larynx
7,2023,0.8529192164708843,TX,Male,Black or African American,Larynx
8,2024,0.0,TX,Male,Black or African American,Larynx
9,2025,0.0,TX,Male,Black or African American,Larynx
