,Year,Lung,State,Gender,Race,Cancer
0,1999,50.4,TX,Female,White,Lung
1,2000,49.9,TX,Female,White,Lung
2,2001,51.2,TX,Female,White,Lung
3,2002,51.1,TX,Female,White,Lung
4,2003,51.7,TX,Female,White,Lung
5,2004,51.9,TX,Female,White,Lung
6,2005,51.5,TX,Female,White,Lung
7,2006,51.5,TX,Female,White,Lung
8,2007,51.0,TX,Female,White,Lung
9,2008,50.5,TX,Female,White,Lung
10,2009,48.6,TX,Female,White,Lung
11,2010,48.8,TX,Female,White,Lung
12,2011,45.7,TX,Female,White,Lung
13,2012,48.1,TX,Female,White,Lung
14,2013,46.8,TX,Female,White,Lung
15,2014,47.5,TX,Female,White,Lung
16,2015,45.8,TX,Female,White,Lung
0,2016,46.44988307778629,TX,Female,White,Lung
1,2017,23.210875982355674,TX,Female,White,Lung
2,2018,0.0,TX,Female,White,Lung
3,2019,9.938816252158073,TX,Female,White,Lung
4,2020,0.0,TX,Female,White,Lung
5,2021,22.087500422610276,TX,Female,White,Lung
6,2022,0.0,TX,Female,White,Lung
7,2023,30.71184485804278,TX,Female,White,Lung
8,2024,0.0,TX,Female,White,Lung
9,2025,51.26858572582756,TX,Female,White,Lung
