,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.6,TX,Female,White,Nasal
1,2000,0.5,TX,Female,White,Nasal
2,2001,0.6,TX,Female,White,Nasal
3,2002,0.6,TX,Female,White,Nasal
4,2003,0.5,TX,Female,White,Nasal
5,2004,0.6,TX,Female,White,Nasal
6,2005,0.6,TX,Female,White,Nasal
7,2006,0.6,TX,Female,White,Nasal
8,2007,0.5,TX,Female,White,Nasal
9,2008,0.5,TX,Female,White,Nasal
10,2009,0.5,TX,Female,White,Nasal
11,2010,0.5,TX,Female,White,Nasal
12,2011,0.4,TX,Female,White,Nasal
13,2012,0.5,TX,Female,White,Nasal
14,2013,0.5,TX,Female,White,Nasal
15,2014,0.4,TX,Female,White,Nasal
16,2015,0.4,TX,Female,White,Nasal
0,2016,0.45028901734104076,TX,Female,White,Nasal
1,2017,0.2664713154465577,TX,Female,White,Nasal
2,2018,0.27534260215457784,TX,Female,White,Nasal
3,2019,0.1464822536295804,TX,Female,White,Nasal
4,2020,0.007436064545038229,TX,Female,White,Nasal
5,2021,0.06487521162310608,TX,Female,White,Nasal
6,2022,0.03562805803772422,TX,Female,White,Nasal
7,2023,0.0,TX,Female,White,Nasal
8,2024,0.0,TX,Female,White,Nasal
9,2025,0.0035616162390830347,TX,Female,White,Nasal
