,Year,Lung,State,Gender,Race,Cancer
0,1999,70.6,TX,Male,White,Lung
1,2000,68.6,TX,Male,White,Lung
2,2001,70.0,TX,Male,White,Lung
3,2002,70.1,TX,Male,White,Lung
4,2003,69.8,TX,Male,White,Lung
5,2004,67.4,TX,Male,White,Lung
6,2005,68.5,TX,Male,White,Lung
7,2006,64.5,TX,Male,White,Lung
8,2007,65.6,TX,Male,White,Lung
9,2008,65.1,TX,Male,White,Lung
10,2009,60.5,TX,Male,White,Lung
11,2010,60.5,TX,Male,White,Lung
12,2011,59.1,TX,Male,White,Lung
13,2012,58.4,TX,Male,White,Lung
14,2013,57.2,TX,Male,White,Lung
15,2014,56.6,TX,Male,White,Lung
16,2015,54.6,TX,Male,White,Lung
0,2016,53.95305805674146,TX,Male,White,Lung
1,2017,49.60128379343135,TX,Male,White,Lung
2,2018,25.20971663380138,TX,Male,White,Lung
3,2019,17.24015416826261,TX,Male,White,Lung
4,2020,13.011524883149551,TX,Male,White,Lung
5,2021,5.1449783264846864,TX,Male,White,Lung
6,2022,3.583751179285617,TX,Male,White,Lung
7,2023,0.9816571256210125,TX,Male,White,Lung
8,2024,0.0,TX,Male,White,Lung
9,2025,0.0,TX,Male,White,Lung
