,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.8,TX,Male,White,Nasal
1,2000,0.8,TX,Male,White,Nasal
2,2001,0.9,TX,Male,White,Nasal
3,2002,0.9,TX,Male,White,Nasal
4,2003,0.8,TX,Male,White,Nasal
5,2004,0.9,TX,Male,White,Nasal
6,2005,0.8,TX,Male,White,Nasal
7,2006,0.6,TX,Male,White,Nasal
8,2007,1.0,TX,Male,White,Nasal
9,2008,0.8,TX,Male,White,Nasal
10,2009,0.7,TX,Male,White,Nasal
11,2010,0.8,TX,Male,White,Nasal
12,2011,0.9,TX,Male,White,Nasal
13,2012,0.8,TX,Male,White,Nasal
14,2013,0.8,TX,Male,White,Nasal
15,2014,0.8,TX,Male,White,Nasal
16,2015,0.8,TX,Male,White,Nasal
0,2016,0.8070468107822497,TX,Male,White,Nasal
1,2017,1.0346300515433502,TX,Male,White,Nasal
2,2018,0.9078451667837488,TX,Male,White,Nasal
3,2019,0.660095868387487,TX,Male,White,Nasal
4,2020,0.731052152590993,TX,Male,White,Nasal
5,2021,0.48494930082954235,TX,Male,White,Nasal
6,2022,0.446142464055744,TX,Male,White,Nasal
7,2023,0.5008355166240407,TX,Male,White,Nasal
8,2024,0.2474759992704929,TX,Male,White,Nasal
9,2025,0.37315841989836307,TX,Male,White,Nasal
