,Year,Trachea,State,Gender,Race,Cancer
0,1999,0.3,TX,Male,White,Trachea
1,2000,0.2,TX,Male,White,Trachea
2,2001,0.3,TX,Male,White,Trachea
3,2002,0.3,TX,Male,White,Trachea
4,2003,0.3,TX,Male,White,Trachea
5,2004,0.3,TX,Male,White,Trachea
6,2005,0.3,TX,Male,White,Trachea
7,2006,0.2,TX,Male,White,Trachea
8,2007,0.2,TX,Male,White,Trachea
9,2008,0.3,TX,Male,White,Trachea
10,2009,0.2,TX,Male,White,Trachea
11,2010,0.3,TX,Male,White,Trachea
12,2011,0.3,TX,Male,White,Trachea
13,2012,0.3,TX,Male,White,Trachea
14,2013,0.4,TX,Male,White,Trachea
15,2014,0.4,TX,Male,White,Trachea
16,2015,0.2,TX,Male,White,Trachea
0,2016,0.3286890064667841,TX,Male,White,Trachea
1,2017,0.1898258485429429,TX,Male,White,Trachea
2,2018,0.055013455590554164,TX,Male,White,Trachea
3,2019,0.1766616682435403,TX,Male,White,Trachea
4,2020,0.2777576487712131,TX,Male,White,Trachea
5,2021,0.17270616457503246,TX,Male,White,Trachea
6,2022,0.21697785067974482,TX,Male,White,Trachea
7,2023,0.048428725743847253,TX,Male,White,Trachea
8,2024,0.0,TX,Male,White,Trachea
9,2025,0.12125818560686301,TX,Male,White,Trachea
