,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.7,TX,Male,White,Larynx
1,2000,6.3,TX,Male,White,Larynx
2,2001,6.4,TX,Male,White,Larynx
3,2002,6.1,TX,Male,White,Larynx
4,2003,6.2,TX,Male,White,Larynx
5,2004,5.9,TX,Male,White,Larynx
6,2005,5.6,TX,Male,White,Larynx
7,2006,6.1,TX,Male,White,Larynx
8,2007,6.2,TX,Male,White,Larynx
9,2008,5.7,TX,Male,White,Larynx
10,2009,5.9,TX,Male,White,Larynx
11,2010,5.4,TX,Male,White,Larynx
12,2011,5.7,TX,Male,White,Larynx
13,2012,5.3,TX,Male,White,Larynx
14,2013,5.4,TX,Male,White,Larynx
15,2014,5.3,TX,Male,White,Larynx
16,2015,5.1,TX,Male,White,Larynx
0,2016,5.179605363869076,TX,Male,White,Larynx
1,2017,4.382686012517593,TX,Male,White,Larynx
2,2018,3.8225539381789977,TX,Male,White,Larynx
3,2019,3.2187581937990983,TX,Male,White,Larynx
4,2020,2.8394991265243426,TX,Male,White,Larynx
5,2021,0.95527265876513,TX,Male,White,Larynx
6,2022,1.928617554194344,TX,Male,White,Larynx
7,2023,0.3230414767605847,TX,Male,White,Larynx
8,2024,1.3411195987201632,TX,Male,White,Larynx
9,2025,0.0,TX,Male,White,Larynx
