,Year,Lung,State,Gender,Race,Cancer
0,1999,29.4,UT,Male,White,Lung
1,2000,27.0,UT,Male,White,Lung
2,2001,27.6,UT,Male,White,Lung
3,2002,26.0,UT,Male,White,Lung
4,2003,28.0,UT,Male,White,Lung
5,2004,26.5,UT,Male,White,Lung
6,2005,25.6,UT,Male,White,Lung
7,2006,24.8,UT,Male,White,Lung
8,2007,25.2,UT,Male,White,Lung
9,2008,21.7,UT,Male,White,Lung
10,2009,27.6,UT,Male,White,Lung
11,2010,22.1,UT,Male,White,Lung
12,2011,25.6,UT,Male,White,Lung
13,2012,28.4,UT,Male,White,Lung
14,2013,23.1,UT,Male,White,Lung
15,2014,23.0,UT,Male,White,Lung
16,2015,23.7,UT,Male,White,Lung
0,2016,13.656415500509135,UT,Male,White,Lung
1,2017,16.78786436959514,UT,Male,White,Lung
2,2018,7.307793851215809,UT,Male,White,Lung
3,2019,10.296999714014774,UT,Male,White,Lung
4,2020,33.110946576590514,UT,Male,White,Lung
5,2021,18.75374860613709,UT,Male,White,Lung
6,2022,12.312557618450803,UT,Male,White,Lung
7,2023,12.053207984384372,UT,Male,White,Lung
8,2024,0.0,UT,Male,White,Lung
9,2025,18.147298995289148,UT,Male,White,Lung
