,Year,Lung,State,Gender,Race,Cancer
0,1999,65.7,VA,Male,Black or African American,Lung
1,2000,65.6,VA,Male,Black or African American,Lung
2,2001,63.9,VA,Male,Black or African American,Lung
3,2002,63.1,VA,Male,Black or African American,Lung
4,2003,72.0,VA,Male,Black or African American,Lung
5,2004,72.7,VA,Male,Black or African American,Lung
6,2005,69.9,VA,Male,Black or African American,Lung
7,2006,69.4,VA,Male,Black or African American,Lung
8,2007,68.0,VA,Male,Black or African American,Lung
9,2008,69.8,VA,Male,Black or African American,Lung
10,2009,72.1,VA,Male,Black or African American,Lung
11,2010,64.4,VA,Male,Black or African American,Lung
12,2011,63.3,VA,Male,Black or African American,Lung
13,2012,73.4,VA,Male,Black or African American,Lung
14,2013,65.9,VA,Male,Black or African American,Lung
15,2014,66.8,VA,Male,Black or African American,Lung
16,2015,59.6,VA,Male,Black or African American,Lung
0,2016,61.776241099593975,VA,Male,Black or African American,Lung
1,2017,52.09764125039311,VA,Male,Black or African American,Lung
2,2018,47.02106219356807,VA,Male,Black or African American,Lung
3,2019,15.571565581411217,VA,Male,Black or African American,Lung
4,2020,32.706096661825356,VA,Male,Black or African American,Lung
5,2021,0.0,VA,Male,Black or African American,Lung
6,2022,30.05279742776657,VA,Male,Black or African American,Lung
7,2023,0.0,VA,Male,Black or African American,Lung
8,2024,0.0,VA,Male,Black or African American,Lung
9,2025,39.80740285772785,VA,Male,Black or African American,Lung
