,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.7,VA,Male,Black or African American,Larynx
1,2000,8.4,VA,Male,Black or African American,Larynx
2,2001,9.7,VA,Male,Black or African American,Larynx
3,2002,8.2,VA,Male,Black or African American,Larynx
4,2003,8.4,VA,Male,Black or African American,Larynx
5,2004,7.9,VA,Male,Black or African American,Larynx
6,2005,7.5,VA,Male,Black or African American,Larynx
7,2006,7.1,VA,Male,Black or African American,Larynx
8,2007,7.4,VA,Male,Black or African American,Larynx
9,2008,8.6,VA,Male,Black or African American,Larynx
10,2009,7.9,VA,Male,Black or African American,Larynx
11,2010,7.6,VA,Male,Black or African American,Larynx
12,2011,6.9,VA,Male,Black or African American,Larynx
13,2012,8.0,VA,Male,Black or African American,Larynx
14,2013,6.2,VA,Male,Black or African American,Larynx
15,2014,7.0,VA,Male,Black or African American,Larynx
16,2015,6.0,VA,Male,Black or African American,Larynx
0,2016,6.817861172991053,VA,Male,Black or African American,Larynx
1,2017,3.670427252261298,VA,Male,Black or African American,Larynx
2,2018,2.569272225395961,VA,Male,Black or African American,Larynx
3,2019,2.9490951480536722,VA,Male,Black or African American,Larynx
4,2020,0.5407505836793143,VA,Male,Black or African American,Larynx
5,2021,1.358545504194145,VA,Male,Black or African American,Larynx
6,2022,0.0,VA,Male,Black or African American,Larynx
7,2023,1.4785148677991256,VA,Male,Black or African American,Larynx
8,2024,0.0,VA,Male,Black or African American,Larynx
9,2025,1.9994203188886601,VA,Male,Black or African American,Larynx
