,Year,Lung,State,Gender,Race,Cancer
0,1999,53.2,VA,Female,White,Lung
1,2000,55.6,VA,Female,White,Lung
2,2001,55.1,VA,Female,White,Lung
3,2002,57.4,VA,Female,White,Lung
4,2003,63.9,VA,Female,White,Lung
5,2004,63.8,VA,Female,White,Lung
6,2005,69.0,VA,Female,White,Lung
7,2006,68.3,VA,Female,White,Lung
8,2007,63.3,VA,Female,White,Lung
9,2008,67.6,VA,Female,White,Lung
10,2009,71.4,VA,Female,White,Lung
11,2010,66.0,VA,Female,White,Lung
12,2011,66.7,VA,Female,White,Lung
13,2012,67.7,VA,Female,White,Lung
14,2013,65.6,VA,Female,White,Lung
15,2014,67.3,VA,Female,White,Lung
16,2015,69.4,VA,Female,White,Lung
0,2016,68.14616451032724,VA,Female,White,Lung
1,2017,7.781444528697689,VA,Female,White,Lung
2,2018,36.92452480761617,VA,Female,White,Lung
3,2019,0.0,VA,Female,White,Lung
4,2020,0.0,VA,Female,White,Lung
5,2021,35.68596648841083,VA,Female,White,Lung
6,2022,0.0,VA,Female,White,Lung
7,2023,0.0,VA,Female,White,Lung
8,2024,37.95809786116626,VA,Female,White,Lung
9,2025,0.0,VA,Female,White,Lung
