,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.9,VA,Female,White,Larynx
1,2000,2.0,VA,Female,White,Larynx
2,2001,1.5,VA,Female,White,Larynx
3,2002,1.9,VA,Female,White,Larynx
4,2003,2.0,VA,Female,White,Larynx
5,2004,1.2,VA,Female,White,Larynx
6,2005,1.9,VA,Female,White,Larynx
7,2006,1.5,VA,Female,White,Larynx
8,2007,1.9,VA,Female,White,Larynx
9,2008,1.9,VA,Female,White,Larynx
10,2009,1.4,VA,Female,White,Larynx
11,2010,1.5,VA,Female,White,Larynx
12,2011,1.3,VA,Female,White,Larynx
13,2012,1.5,VA,Female,White,Larynx
14,2013,2.0,VA,Female,White,Larynx
15,2014,1.4,VA,Female,White,Larynx
16,2015,1.4,VA,Female,White,Larynx
0,2016,1.0522382289154297,VA,Female,White,Larynx
1,2017,1.1929997884609347,VA,Female,White,Larynx
2,2018,1.641094308966229,VA,Female,White,Larynx
3,2019,2.042596498758439,VA,Female,White,Larynx
4,2020,1.3524644525564598,VA,Female,White,Larynx
5,2021,0.18911572593908244,VA,Female,White,Larynx
6,2022,0.3770094606593074,VA,Female,White,Larynx
7,2023,0.6516393668858096,VA,Female,White,Larynx
8,2024,1.3729084548328605,VA,Female,White,Larynx
9,2025,0.41755737446482843,VA,Female,White,Larynx
