,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.4,VA,Male,White,Larynx
1,2000,7.8,VA,Male,White,Larynx
2,2001,6.0,VA,Male,White,Larynx
3,2002,5.8,VA,Male,White,Larynx
4,2003,6.5,VA,Male,White,Larynx
5,2004,7.3,VA,Male,White,Larynx
6,2005,6.9,VA,Male,White,Larynx
7,2006,6.5,VA,Male,White,Larynx
8,2007,5.7,VA,Male,White,Larynx
9,2008,6.0,VA,Male,White,Larynx
10,2009,6.8,VA,Male,White,Larynx
11,2010,6.0,VA,Male,White,Larynx
12,2011,6.5,VA,Male,White,Larynx
13,2012,5.7,VA,Male,White,Larynx
14,2013,6.7,VA,Male,White,Larynx
15,2014,6.2,VA,Male,White,Larynx
16,2015,6.1,VA,Male,White,Larynx
0,2016,6.183974726268946,VA,Male,White,Larynx
1,2017,6.948802660775619,VA,Male,White,Larynx
2,2018,3.3038419794825673,VA,Male,White,Larynx
3,2019,8.37173679715014,VA,Male,White,Larynx
4,2020,0.0,VA,Male,White,Larynx
5,2021,8.579890574167306,VA,Male,White,Larynx
6,2022,0.0,VA,Male,White,Larynx
7,2023,13.502998251097601,VA,Male,White,Larynx
8,2024,0.0,VA,Male,White,Larynx
9,2025,23.517750482828887,VA,Male,White,Larynx
