,Year,Lung,State,Gender,Race,Cancer
0,1999,89.1,VT,Male,White,Lung
1,2000,85.9,VT,Male,White,Lung
2,2001,77.4,VT,Male,White,Lung
3,2002,72.8,VT,Male,White,Lung
4,2003,91.2,VT,Male,White,Lung
5,2004,79.5,VT,Male,White,Lung
6,2005,83.7,VT,Male,White,Lung
7,2006,94.7,VT,Male,White,Lung
8,2007,86.3,VT,Male,White,Lung
9,2008,87.3,VT,Male,White,Lung
10,2009,84.0,VT,Male,White,Lung
11,2010,93.2,VT,Male,White,Lung
12,2011,83.8,VT,Male,White,Lung
13,2012,89.9,VT,Male,White,Lung
14,2013,89.3,VT,Male,White,Lung
15,2014,81.4,VT,Male,White,Lung
16,2015,91.4,VT,Male,White,Lung
0,2016,86.59228841351464,VT,Male,White,Lung
1,2017,87.91303759206181,VT,Male,White,Lung
2,2018,43.81156789720047,VT,Male,White,Lung
3,2019,38.33831227316916,VT,Male,White,Lung
4,2020,20.817515029640816,VT,Male,White,Lung
5,2021,17.18546962249016,VT,Male,White,Lung
6,2022,9.223077078670627,VT,Male,White,Lung
7,2023,8.829422001624707,VT,Male,White,Lung
8,2024,3.922751490787448,VT,Male,White,Lung
9,2025,5.5340169599462286,VT,Male,White,Lung
