,Year,Lung,State,Gender,Race,Cancer
0,1999,65.9,WA,Female,White,Lung
1,2000,66.6,WA,Female,White,Lung
2,2001,68.5,WA,Female,White,Lung
3,2002,64.1,WA,Female,White,Lung
4,2003,69.8,WA,Female,White,Lung
5,2004,67.9,WA,Female,White,Lung
6,2005,69.5,WA,Female,White,Lung
7,2006,69.2,WA,Female,White,Lung
8,2007,66.1,WA,Female,White,Lung
9,2008,70.0,WA,Female,White,Lung
10,2009,68.2,WA,Female,White,Lung
11,2010,68.3,WA,Female,White,Lung
12,2011,66.6,WA,Female,White,Lung
13,2012,70.7,WA,Female,White,Lung
14,2013,66.2,WA,Female,White,Lung
15,2014,67.1,WA,Female,White,Lung
16,2015,64.9,WA,Female,White,Lung
0,2016,67.22490770703277,WA,Female,White,Lung
1,2017,64.03545087192485,WA,Female,White,Lung
2,2018,28.239585945505873,WA,Female,White,Lung
3,2019,44.8721569327054,WA,Female,White,Lung
4,2020,0.0,WA,Female,White,Lung
5,2021,36.32909980762156,WA,Female,White,Lung
6,2022,0.0,WA,Female,White,Lung
7,2023,51.63488162328963,WA,Female,White,Lung
8,2024,0.0,WA,Female,White,Lung
9,2025,87.12824216011938,WA,Female,White,Lung
