,Year,Lung,State,Gender,Race,Cancer
0,1999,78.8,WA,Male,White,Lung
1,2000,73.1,WA,Male,White,Lung
2,2001,73.6,WA,Male,White,Lung
3,2002,74.0,WA,Male,White,Lung
4,2003,73.9,WA,Male,White,Lung
5,2004,72.7,WA,Male,White,Lung
6,2005,73.7,WA,Male,White,Lung
7,2006,72.2,WA,Male,White,Lung
8,2007,66.6,WA,Male,White,Lung
9,2008,69.1,WA,Male,White,Lung
10,2009,72.7,WA,Male,White,Lung
11,2010,73.2,WA,Male,White,Lung
12,2011,69.6,WA,Male,White,Lung
13,2012,68.9,WA,Male,White,Lung
14,2013,67.0,WA,Male,White,Lung
15,2014,69.7,WA,Male,White,Lung
16,2015,66.6,WA,Male,White,Lung
0,2016,68.5470451100143,WA,Male,White,Lung
1,2017,38.91575696042433,WA,Male,White,Lung
2,2018,65.91913102469746,WA,Male,White,Lung
3,2019,69.8431035746655,WA,Male,White,Lung
4,2020,21.269726609014267,WA,Male,White,Lung
5,2021,41.80037497450577,WA,Male,White,Lung
6,2022,26.09504641591907,WA,Male,White,Lung
7,2023,22.093384850725627,WA,Male,White,Lung
8,2024,0.0,WA,Male,White,Lung
9,2025,50.713214972904254,WA,Male,White,Lung
