,Year,Lung,State,Gender,Race,Cancer
0,1999,57.4,WI,Female,White,Lung
1,2000,55.4,WI,Female,White,Lung
2,2001,62.8,WI,Female,White,Lung
3,2002,60.6,WI,Female,White,Lung
4,2003,61.2,WI,Female,White,Lung
5,2004,60.9,WI,Female,White,Lung
6,2005,66.2,WI,Female,White,Lung
7,2006,67.2,WI,Female,White,Lung
8,2007,64.6,WI,Female,White,Lung
9,2008,66.0,WI,Female,White,Lung
10,2009,65.3,WI,Female,White,Lung
11,2010,68.5,WI,Female,White,Lung
12,2011,72.3,WI,Female,White,Lung
13,2012,71.7,WI,Female,White,Lung
14,2013,72.3,WI,Female,White,Lung
15,2014,72.9,WI,Female,White,Lung
16,2015,69.9,WI,Female,White,Lung
0,2016,74.83760373249785,WI,Female,White,Lung
1,2017,59.676747296892366,WI,Female,White,Lung
2,2018,87.56182949943114,WI,Female,White,Lung
3,2019,58.36611553001808,WI,Female,White,Lung
4,2020,67.09311809210186,WI,Female,White,Lung
5,2021,46.64012383357722,WI,Female,White,Lung
6,2022,24.152947299524985,WI,Female,White,Lung
7,2023,50.081240526802155,WI,Female,White,Lung
8,2024,32.979409738105474,WI,Female,White,Lung
9,2025,26.457517204311102,WI,Female,White,Lung
