,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.6,WI,Male,White,Larynx
1,2000,6.5,WI,Male,White,Larynx
2,2001,7.4,WI,Male,White,Larynx
3,2002,6.6,WI,Male,White,Larynx
4,2003,6.4,WI,Male,White,Larynx
5,2004,6.9,WI,Male,White,Larynx
6,2005,6.9,WI,Male,White,Larynx
7,2006,7.2,WI,Male,White,Larynx
8,2007,7.1,WI,Male,White,Larynx
9,2008,7.0,WI,Male,White,Larynx
10,2009,7.2,WI,Male,White,Larynx
11,2010,7.2,WI,Male,White,Larynx
12,2011,6.2,WI,Male,White,Larynx
13,2012,6.9,WI,Male,White,Larynx
14,2013,7.3,WI,Male,White,Larynx
15,2014,7.6,WI,Male,White,Larynx
16,2015,6.5,WI,Male,White,Larynx
0,2016,6.70894393073884,WI,Male,White,Larynx
1,2017,5.60183847443053,WI,Male,White,Larynx
2,2018,7.687096649734992,WI,Male,White,Larynx
3,2019,6.7742117956336605,WI,Male,White,Larynx
4,2020,3.468203881009927,WI,Male,White,Larynx
5,2021,3.6726035010858515,WI,Male,White,Larynx
6,2022,3.0846733413019045,WI,Male,White,Larynx
7,2023,3.533626716640269,WI,Male,White,Larynx
8,2024,1.718129156786313,WI,Male,White,Larynx
9,2025,2.3979474661591054,WI,Male,White,Larynx
