,Year,Lung,State,Gender,Race,Cancer
0,1999,91.9,WV,Female,White,Lung
1,2000,92.8,WV,Female,White,Lung
2,2001,99.1,WV,Female,White,Lung
3,2002,94.6,WV,Female,White,Lung
4,2003,90.0,WV,Female,White,Lung
5,2004,91.5,WV,Female,White,Lung
6,2005,105.3,WV,Female,White,Lung
7,2006,99.0,WV,Female,White,Lung
8,2007,100.1,WV,Female,White,Lung
9,2008,107.3,WV,Female,White,Lung
10,2009,95.6,WV,Female,White,Lung
11,2010,93.3,WV,Female,White,Lung
12,2011,92.8,WV,Female,White,Lung
13,2012,96.9,WV,Female,White,Lung
14,2013,101.4,WV,Female,White,Lung
15,2014,99.9,WV,Female,White,Lung
16,2015,97.4,WV,Female,White,Lung
0,2016,98.05743905725103,WV,Female,White,Lung
1,2017,46.11422450766064,WV,Female,White,Lung
2,2018,83.6360348731732,WV,Female,White,Lung
3,2019,46.46706349399142,WV,Female,White,Lung
4,2020,49.32108699716504,WV,Female,White,Lung
5,2021,54.6835227949967,WV,Female,White,Lung
6,2022,8.83052475169692,WV,Female,White,Lung
7,2023,23.87710050404532,WV,Female,White,Lung
8,2024,29.260161340384435,WV,Female,White,Lung
9,2025,2.2876632573110998,WV,Female,White,Lung
