,Year,Larynx,State,Gender,Race,Cancer
0,1999,3.0,WV,Female,White,Larynx
1,2000,3.4,WV,Female,White,Larynx
2,2001,2.8,WV,Female,White,Larynx
3,2002,3.0,WV,Female,White,Larynx
4,2003,3.6,WV,Female,White,Larynx
5,2004,2.9,WV,Female,White,Larynx
6,2005,2.4,WV,Female,White,Larynx
7,2006,2.7,WV,Female,White,Larynx
8,2007,3.3,WV,Female,White,Larynx
9,2008,3.2,WV,Female,White,Larynx
10,2009,3.0,WV,Female,White,Larynx
11,2010,4.0,WV,Female,White,Larynx
12,2011,4.1,WV,Female,White,Larynx
13,2012,2.7,WV,Female,White,Larynx
14,2013,3.8,WV,Female,White,Larynx
15,2014,3.8,WV,Female,White,Larynx
16,2015,3.1,WV,Female,White,Larynx
0,2016,3.359413815699129,WV,Female,White,Larynx
1,2017,2.6214129286886467,WV,Female,White,Larynx
2,2018,2.992379339779524,WV,Female,White,Larynx
3,2019,0.5257697492240522,WV,Female,White,Larynx
4,2020,1.3101873418089398,WV,Female,White,Larynx
5,2021,2.146619584465044,WV,Female,White,Larynx
6,2022,0.0,WV,Female,White,Larynx
7,2023,0.6313613753998517,WV,Female,White,Larynx
8,2024,1.8097551653497133,WV,Female,White,Larynx
9,2025,0.0,WV,Female,White,Larynx
