,Year,Lung,State,Gender,Race,Cancer
0,1999,137.7,WV,Male,White,Lung
1,2000,133.0,WV,Male,White,Lung
2,2001,133.6,WV,Male,White,Lung
3,2002,131.4,WV,Male,White,Lung
4,2003,125.0,WV,Male,White,Lung
5,2004,133.4,WV,Male,White,Lung
6,2005,134.9,WV,Male,White,Lung
7,2006,135.1,WV,Male,White,Lung
8,2007,126.4,WV,Male,White,Lung
9,2008,129.4,WV,Male,White,Lung
10,2009,132.1,WV,Male,White,Lung
11,2010,123.2,WV,Male,White,Lung
12,2011,132.5,WV,Male,White,Lung
13,2012,124.8,WV,Male,White,Lung
14,2013,128.5,WV,Male,White,Lung
15,2014,126.1,WV,Male,White,Lung
16,2015,128.7,WV,Male,White,Lung
0,2016,125.39294760547371,WV,Male,White,Lung
1,2017,150.7680197515086,WV,Male,White,Lung
2,2018,98.70002134673375,WV,Male,White,Lung
3,2019,149.68776202484025,WV,Male,White,Lung
4,2020,40.63035404235188,WV,Male,White,Lung
5,2021,136.05476140787076,WV,Male,White,Lung
6,2022,0.0,WV,Male,White,Lung
7,2023,174.59026898376794,WV,Male,White,Lung
8,2024,0.0,WV,Male,White,Lung
9,2025,248.27251410261545,WV,Male,White,Lung
