,Year,Larynx,State,Gender,Race,Cancer
0,1999,11.8,WV,Male,White,Larynx
1,2000,10.8,WV,Male,White,Larynx
2,2001,11.6,WV,Male,White,Larynx
3,2002,11.2,WV,Male,White,Larynx
4,2003,9.5,WV,Male,White,Larynx
5,2004,9.3,WV,Male,White,Larynx
6,2005,11.5,WV,Male,White,Larynx
7,2006,10.1,WV,Male,White,Larynx
8,2007,11.0,WV,Male,White,Larynx
9,2008,11.3,WV,Male,White,Larynx
10,2009,11.6,WV,Male,White,Larynx
11,2010,11.2,WV,Male,White,Larynx
12,2011,10.7,WV,Male,White,Larynx
13,2012,11.5,WV,Male,White,Larynx
14,2013,11.1,WV,Male,White,Larynx
15,2014,11.7,WV,Male,White,Larynx
16,2015,11.1,WV,Male,White,Larynx
0,2016,11.79888471060428,WV,Male,White,Larynx
1,2017,12.505920872164234,WV,Male,White,Larynx
2,2018,7.509929851497828,WV,Male,White,Larynx
3,2019,9.674601644246701,WV,Male,White,Larynx
4,2020,2.814217896492904,WV,Male,White,Larynx
5,2021,9.331729917080802,WV,Male,White,Larynx
6,2022,0.0,WV,Male,White,Larynx
7,2023,11.063628743620818,WV,Male,White,Larynx
8,2024,0.0,WV,Male,White,Larynx
9,2025,15.681413691549096,WV,Male,White,Larynx
