,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,12.05,0.0,0.08822222222222223,5.2,0.0,29.07692307692308,19.16,AL
1,2000.0,9.3,0.0,0.08839999999999999,6.0,0.0,25.857142857142854,17.533333333333335,AL
2,2001.0,24.3,0.0,0.07891666666666665,3.6666666666666665,0.0,25.08333333333333,13.918181818181818,AL
3,2002.0,6.699999999999998,0.0,0.08193333333333333,2.5,0.0,26.25,13.419999999999998,AL
4,2003.0,2.85,0.0,0.07524999999999997,2.333333333333333,0.0,28.83333333333333,14.021428571428574,AL
5,2004.0,8.2,3.0,0.07170588235294117,2.25,0.0,27.75,13.547058823529413,AL
6,2005.0,8.8,0.0,0.07276470588235294,2.6666666666666665,0.0,26.5,14.172222222222222,AL
7,2006.0,9.5,0.0,0.07729411764705882,2.333333333333333,0.0,27.75,14.106666666666666,AL
8,2007.0,8.6,0.0,0.0796875,3.0,0.0,33.25,14.107142857142858,AL
9,2008.0,8.1,0.0,0.06999999999999999,3.0,0.0,26.75,11.916666666666664,AL
10,2009.0,6.7,0.0,0.06321428571428572,1.0,0.91,21.33333333333333,10.083333333333334,AL
11,2010.0,2.2,0.0,0.0702857142857143,2.0,0.0,23.0,12.0,AL
12,2011.0,5.5,0.0,0.06840000000000003,2.0,1.03,22.33333333333333,11.160000000000002,AL
13,2012.0,1.7,0.0,0.06935714285714288,1.0,0.4466666666666667,19.666666666666668,9.666666666666666,AL
14,2013.0,1.7,0.0,0.061733333333333335,0.5,0.14,18.75,8.92,AL
15,2014.0,2.4,14.0,0.06186666666666669,2.0,0.055,20.0,9.545454545454547,AL
16,2015.0,1.9,13.0,0.06253333333333333,1.0,0.045000000000000005,23.0,9.02142857142857,AL
0,2016.0,0.9286658408872762,12.608320042530572,0.06225039084429228,0.6662918679737966,0.0002341358873796176,21.733040066541687,8.192327533375545,AL
1,2017.0,0.0,2.616054516032486,0.017984321395062952,0.24599911452164114,0.009606972865487083,0.0,0.631661445808075,AL
2,2018.0,0.0,5.338468271374576,0.036293601212017135,0.29779361272301474,0.0,11.184597605151218,4.350607235694271,AL
3,2019.0,0.0,4.0885851205575845,0.03563433748704824,0.0,0.006788898769651747,13.38024742365539,1.6840247237694197,AL
4,2020.0,0.0,2.943500674140801,0.005588492104515667,0.0,0.0,0.0,0.0,AL
5,2021.0,0.0,2.618456064719008,0.0,0.0,0.01404005093090839,0.0,0.06462062752431252,AL
6,2022.0,0.0,2.7017283897383777,0.010465744944652956,0.0,0.0,13.12185581444619,0.0,AL
7,2023.0,0.0,2.511870888887198,0.006287898151206169,0.0,0.02045269936445629,0.0,0.0,AL
8,2024.0,0.0,2.459622920546451,0.0,0.0,0.0,0.0,0.0,AL
9,2025.0,0.0,2.4420498067251746,0.0,0.0,0.026984425472366264,10.868431574186692,0.0,AL
