,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,2.1,4.0,0.046,5.5,0.0,17.5,5.0,HI
1,2000.0,2.0,5.0,0.0435,5.0,0.0,20.5,4.9,HI
2,2001.0,1.9,5.0,0.039500000000000014,2.0,0.0,20.5,4.5,HI
3,2002.0,1.8,5.0,0.0425,5.5,0.0,17.5,4.75,HI
4,2003.0,2.2,5.0,0.0415,10.5,0.0,18.666666666666668,5.65,HI
5,2004.0,2.0,5.0,0.046,6.0,0.0,16.666666666666668,4.9,HI
6,2005.0,1.6,5.0,0.042,10.0,0.0,21.0,5.0,HI
7,2006.0,1.7,5.0,0.04,13.0,0.0,16.333333333333332,4.25,HI
8,2007.0,1.0,5.0,0.033,10.0,0.0,21.5,4.95,HI
9,2008.0,1.0,4.0,0.041,35.5,0.0,19.0,5.7,HI
10,2009.0,1.2,4.0,0.048,33.0,0.0,20.0,8.933333333333334,HI
11,2010.0,0.8,3.0,0.046,37.0,0.0,19.0,9.233333333333333,HI
12,2011.0,0.85,3.0,0.05,18.0,0.0,18.0,10.55,HI
13,2012.0,1.0,3.0,0.046,27.0,0.0,19.0,9.125,HI
14,2013.0,1.1,2.5,0.047,11.0,0.0,19.0,7.3,HI
15,2014.0,1.3,2.5,0.054000000000000006,12.5,0.0,19.0,6.866666666666667,HI
16,2015.0,1.6,3.0,0.049,9.0,0.0,21.0,6.725,HI
0,2016.0,1.6767322711844264,2.605194805194805,0.04980505931222873,14.099950664279973,0.0,19.473161072286963,7.951294893857754,HI
1,2017.0,0.34180879386420954,0.4315972339348967,0.018963999781430863,5.581156701366622,0.0,17.641966840336387,0.23733178439626967,HI
2,2018.0,0.33391969821008316,0.0,0.02608389260427073,2.0484700943640304,0.0,2.7054607073816612,0.0,HI
3,2019.0,0.0,0.0,0.019691322641219176,1.6962385855804265,0.0,13.149857148206436,1.3861766430862998,HI
4,2020.0,0.0,0.0,0.009798499216706632,2.3440743346632993,0.0,0.0,5.60892446734526,HI
5,2021.0,0.0,0.0,0.00547784041698551,1.849097233086015,0.0,17.810597276312777,4.254680088255738,HI
6,2022.0,0.0,0.0,0.007523287078915959,1.7124499178389851,0.0,0.0,0.0,HI
7,2023.0,0.19040790878586272,0.0,0.00463033077809793,1.1564455431705227,0.0,31.960764633118245,0.0,HI
8,2024.0,0.2703682271893152,0.0,0.0035146364720904906,1.5709667064607482,0.0,0.0,0.0,HI
9,2025.0,0.0,0.0,0.0025981745562069763,1.1701576464761034,0.0,61.69367290457791,4.109747789312882,HI
