,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,5.133333333333334,21.0,0.068,5.5,0.0,26.285714285714285,8.36,ID
1,2000.0,3.8,0.0,0.068,5.5,0.0,31.461538461538463,9.711111111111112,ID
2,2001.0,3.9333333333333336,0.0,0.0,5.0,0.0,26.266666666666666,10.4,ID
3,2002.0,2.6,9.0,0.07350000000000001,5.5,0.0,25.125,9.500000000000002,ID
4,2003.0,2.766666666666667,7.5,0.06925,5.5,0.0,21.25,7.9833333333333325,ID
5,2004.0,2.85,6.0,0.0655,4.0,0.0,20.375,9.7,ID
6,2005.0,2.55,7.0,0.06775,4.5,0.0,21.428571428571427,9.957142857142856,ID
7,2006.0,2.05,6.0,0.075,5.0,0.0,20.75,9.04,ID
8,2007.0,1.6,0.0,0.07,3.5,0.0,21.0,10.366666666666667,ID
9,2008.0,2.9,0.0,0.06533333333333334,0.0,0.0,19.0,9.7,ID
10,2009.0,3.3,0.0,0.062333333333333324,2.0,0.0,18.33333333333333,8.116666666666665,ID
11,2010.0,2.3,10.0,0.062,3.0,0.0,17.0,9.2,ID
12,2011.0,1.6,0.0,0.061,2.0,0.0,17.4,9.933333333333332,ID
13,2012.0,1.6,0.0,0.0695,3.0,0.0,20.0,13.333333333333336,ID
14,2013.0,1.4,11.0,0.067,2.0,0.0,19.0,12.699999999999998,ID
15,2014.0,2.1,0.0,0.0635,2.0,0.0,17.0,8.333333333333334,ID
16,2015.0,2.5,0.0,0.0635,1.6666666666666667,0.0,20.0,9.514285714285714,ID
0,2016.0,2.0586868076010463,5.869672066307242,0.063545355469774,1.3297423541301998,0.0,19.413856557726497,13.374876934599659,ID
1,2017.0,0.0,2.7061911087058657,0.007298622324567243,0.0,0.0,0.6169589351280854,6.15127713803099,ID
2,2018.0,0.5793669487126055,0.0,0.010602071162949391,0.6736670771114592,0.0,0.0,7.35106571361174,ID
3,2019.0,1.8135629170421823,3.2920048157431703,0.003205107762869553,0.0,0.0,1.0360739855865773,7.85513479325437,ID
4,2020.0,0.0,0.0,0.00032462010539664537,0.0,0.0,1.6614493988585475,1.8868835376652955,ID
5,2021.0,0.0,0.28407258580602757,0.00044348489633670246,0.0,0.0,0.0,1.3270815776883111,ID
6,2022.0,0.39079971276889247,0.7889820825067342,0.0,0.0,0.0,0.0,5.569171434550592,ID
7,2023.0,0.7256506468098096,0.0,0.0,0.0,0.0,0.0,1.9407332032813391,ID
8,2024.0,0.0,0.3473982847008176,0.0,0.0,0.0,0.0,0.0,ID
9,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,3.185067888077047,ID
