,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,2.9,4.0,0.07966666666666666,4.0,0.0,32.0,12.1,KS
1,2000.0,3.8,10.5,0.08180000000000001,2.6666666666666665,0.0,25.285714285714285,11.883333333333335,KS
2,2001.0,2.35,9.0,0.0782,1.5,0.0,23.285714285714285,11.45,KS
3,2002.0,1.975,8.0,0.07120000000000001,1.6666666666666667,0.0,24.0,11.4,KS
4,2003.0,2.1333333333333333,9.25,0.079,3.5,0.0,24.0,11.583333333333336,KS
5,2004.0,2.4,8.5,0.06475,1.25,0.0,20.6,10.3,KS
6,2005.0,3.1666666666666665,9.0,0.076,1.5,0.0,25.75,11.766666666666666,KS
7,2006.0,2.6666666666666665,8.0,0.077,1.2,0.0,29.0,9.68,KS
8,2007.0,2.5,7.5,0.07062500000000001,2.0,0.0,26.66666666666667,10.783333333333333,KS
9,2008.0,1.75,8.0,0.064375,2.5,0.0,30.0,9.7,KS
10,2009.0,1.65,6.25,0.065625,2.2,0.0,21.66666666666667,8.833333333333334,KS
11,2010.0,2.1500000000000004,6.75,0.0695,3.333333333333333,0.0,23.4,9.22,KS
12,2011.0,2.45,8.0,0.07411111111111111,2.0,0.0,22.33333333333333,9.7,KS
13,2012.0,3.6,7.25,0.07955555555555556,1.6666666666666667,0.11,22.6,8.633333333333333,KS
14,2013.0,1.5,6.75,0.066625,0.6666666666666666,0.12,19.666666666666668,8.55,KS
15,2014.0,1.1,6.75,0.065375,1.3333333333333333,0.08,19.6,9.2,KS
16,2015.0,1.2,5.6,0.0625,1.5,0.06,19.8,7.75,KS
0,2016.0,2.473589064708952,5.763689447658741,0.06707731123016428,1.3639905009932949,0.08726371149511643,19.30679502753159,8.251891890116385,KS
1,2017.0,1.3533949959042015,2.9167927050576243,0.034856048591299316,0.4066317793517367,0.05753952598866193,8.111727152879766,11.05859687876549,KS
2,2018.0,0.21556924795136706,2.5504054605155915,0.03344166708882108,0.5431910134910368,0.06126011747831429,5.351668502676834,3.6267730482963323,KS
3,2019.0,0.35383657352282477,0.0,0.02718019885364066,0.5068280026316876,0.04854039702951235,1.625164099500152,8.811143060993777,KS
4,2020.0,0.7944417418214823,0.5657162609184186,0.011179654011705368,0.026203664313700747,0.02761818051926566,1.213688040744806,0.0,KS
5,2021.0,0.30438264630501444,0.0,0.007691599381946189,0.0,0.0271727237185074,0.0,11.050210247063088,KS
6,2022.0,0.0,0.0,0.00558916012970128,0.0,0.03477859125679074,0.0,0.0,KS
7,2023.0,0.0,0.0,0.004301564503558206,0.0,0.027222169371238593,0.0,18.865818282767634,KS
8,2024.0,0.2355754332677944,0.0,0.0,0.0,0.018656892243634742,0.0,0.0,KS
9,2025.0,0.0,0.0,0.0005931801889462879,0.0,0.02372644446739998,0.0,37.128244492561706,KS
