,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,2.3875,13.8,0.09214285714285717,6.3,0.0,25.42857142857143,17.5,KY
1,2000.0,2.075,13.4,0.08239285714285714,5.3,0.0,24.3,16.036363636363635,KY
2,2001.0,1.7999999999999998,13.777777777777779,0.07886206896551724,4.5555555555555545,0.0,22.7,15.02222222222222,KY
3,2002.0,2.9,12.5,0.0883103448275862,3.6666666666666665,0.0,21.11111111111111,14.415384615384614,KY
4,2003.0,1.8,11.25,0.07558620689655171,3.4,0.0,21.11764705882353,13.620000000000005,KY
5,2004.0,3.3,10.625,0.0683793103448276,3.727272727272727,0.0,20.235294117647054,12.684210526315795,KY
6,2005.0,2.6,10.75,0.07825,4.3,0.0,22.73333333333333,14.8,KY
7,2006.0,2.8,9.714285714285714,0.07242307692307692,3.5,0.0,21.444444444444443,13.347058823529416,KY
8,2007.0,2.1,8.833333333333334,0.07992,4.0,0.0,25.42857142857143,14.470588235294118,KY
9,2008.0,2.2,9.0,0.07111538461538462,2.875,0.0,20.166666666666668,11.883333333333333,KY
10,2009.0,1.15,8.0,0.06565384615384616,2.2,0.0,17.142857142857142,10.7875,KY
11,2010.0,1.25,7.2,0.07200000000000001,2.1818181818181817,0.12,19.857142857142858,11.706666666666667,KY
12,2011.0,1.1,6.0,0.07159259259259257,1.8,0.036666666666666674,18.0,10.553846153846154,KY
13,2012.0,1.0,6.0,0.07830769230769231,1.5,0.08,18.857142857142858,9.975,KY
14,2013.0,0.85,5.8,0.0621851851851852,0.7,0.03666666666666667,15.666666666666664,9.471428571428572,KY
15,2014.0,0.7000000000000001,5.6,0.06448148148148147,1.0,0.02666666666666667,16.666666666666668,9.646666666666668,KY
16,2015.0,0.7999999999999999,7.166666666666668,0.065,0.375,0.08,17.666666666666668,8.76923076923077,KY
0,2016.0,0.5124907625559524,7.751335795238291,0.06386546875783611,0.27905541288381974,0.049338859323668764,16.59335736612588,8.463425323171794,KY
1,2017.0,0.13599879385570735,0.0,0.04489076081533078,0.0,0.05015970543587777,8.218873453815636,4.3783976980932815,KY
2,2018.0,0.0,0.0,0.042595326553855506,0.0,0.029107616890349096,8.29460907667263,2.8264280821364034,KY
3,2019.0,0.0,0.0,0.02230346982364924,0.0,0.03186004651125055,4.578273921331402,1.0665966838117178,KY
4,2020.0,0.0,0.0,0.0143465763693205,0.0,0.01914321932020642,2.12577566858051,0.08640141551313407,KY
5,2021.0,0.0,0.0,0.010389864944787995,0.0,0.025443491906860863,0.8713910104449996,0.0,KY
6,2022.0,0.0,1.2940196360091833,0.005311379349992852,0.0,0.014605070925781227,0.5692088969987203,0.0,KY
7,2023.0,0.16015639187198905,0.4835990165235298,0.0006452162187820729,0.0,0.023308410897275145,0.0,0.0,KY
8,2024.0,0.0,0.12107688114709447,0.0,0.0,0.01239043235140963,0.0,0.0,KY
9,2025.0,0.4659222298620893,0.5829548814530707,0.0,0.0,0.022855290557015795,0.0,0.0,KY
