,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,3.9,11.3,0.0864,3.8333333333333335,0.0,27.0,14.341666666666667,LA
1,2000.0,3.8,11.857142857142858,0.08947619047619046,3.333333333333333,0.0,24.0,13.507142857142856,LA
2,2001.0,4.2,11.714285714285715,0.07804761904761905,3.1666666666666665,0.0,26.5,12.453846153846154,LA
3,2002.0,3.65,10.857142857142858,0.0738095238095238,3.5,0.0,22.6,10.821428571428573,LA
4,2003.0,3.3,10.714285714285714,0.08238095238095237,3.1666666666666665,0.0,25.4,11.875,LA
5,2004.0,3.05,10.571428571428571,0.07709523809523809,3.5,0.0,24.25,11.258333333333335,LA
6,2005.0,2.2333333333333334,9.571428571428571,0.0816470588235294,3.6,0.0,28.0,13.025,LA
7,2006.0,2.35,9.857142857142858,0.08312499999999999,3.4,0.0,31.5,12.985714285714286,LA
8,2007.0,1.6,9.571428571428571,0.07888235294117647,4.166666666666667,0.0,30.33333333333333,11.225,LA
9,2008.0,1.8,9.0,0.07105555555555555,3.8333333333333335,0.0,31.0,10.3875,LA
10,2009.0,1.1,8.428571428571429,0.07231578947368422,3.6666666666666665,0.0,20.5,9.241666666666667,LA
11,2010.0,2.0,8.142857142857142,0.07494736842105262,4.25,0.0,23.6,9.925,LA
12,2011.0,1.4,7.7142857142857135,0.07605263157894736,4.75,0.0,24.8,9.966666666666667,LA
13,2012.0,1.7,7.428571428571429,0.0706842105263158,3.5,0.0,22.4,9.590909090909092,LA
14,2013.0,1.8,7.142857142857142,0.06521052631578947,2.0,0.0,20.2,8.391666666666667,LA
15,2014.0,1.3,7.75,0.06842105263157898,1.8,0.0,20.25,8.144444444444442,LA
16,2015.0,1.75,6.875,0.0675294117647059,1.4,0.005,20.5,8.370000000000001,LA
0,2016.0,1.1788046343579337,6.483123738520073,0.06557308983573813,0.6243211819720946,0.005384615384615385,20.464090189323418,8.466929673603762,LA
1,2017.0,0.597731196109675,3.62197514554421,0.025921622581666092,0.0,0.0007692307692307696,4.902534568273935,1.1107139129030998,LA
2,2018.0,0.0,3.937868462016748,0.04549980216448721,0.0,0.0007692307692307696,5.378758861038406,1.3875355763630277,LA
3,2019.0,0.0,0.0,0.019606272274483666,0.0,0.0007692307692307696,4.624534830183146,3.8479732457658686,LA
4,2020.0,0.0,1.0068753476608294,0.005879568466236519,0.0,0.0007692307692307696,2.3472978256510735,2.124788797759646,LA
5,2021.0,0.0,0.0,0.010384978821730312,0.0,0.0007692307692307696,0.0,0.0,LA
6,2022.0,0.0,0.0,0.005576657997909106,0.5678452236260634,0.0007692307692307696,0.2755351355904745,0.0,LA
7,2023.0,0.30726101600711697,0.0,0.0,0.0,0.0007692307692307696,0.0,0.35344341530416434,LA
8,2024.0,0.0,0.0,0.0004871562811427265,0.0,0.0007692307692307696,0.0,0.3507817163898843,LA
9,2025.0,0.7303954764466383,0.0,0.0,0.44020683902693153,0.0007692307692307696,0.0,0.0,LA
