,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,4.325,19.5,0.09066666666666666,5.833333333333332,0.0,24.33333333333333,12.75,MA
1,2000.0,3.225,19.5,0.07725,4.833333333333333,0.0,21.75,10.25,MA
2,2001.0,2.775,15.666666666666664,0.09566666666666664,4.833333333333333,0.0,15.0,12.2,MA
3,2002.0,2.8000000000000003,16.2,0.09711111111111108,4.75,0.0,16.666666666666668,11.87142857142857,MA
4,2003.0,2.45,14.5,0.08279999999999997,4.75,0.0,0.0,9.9,MA
5,2004.0,2.025,14.2,0.07736363636363636,4.0,0.0,17.333333333333332,11.157142857142858,MA
6,2005.0,2.25,14.0,0.08681818181818181,5.0,0.0,20.75,11.800000000000002,MA
7,2006.0,1.75,13.4,0.08163636363636363,3.4,0.0,16.25,9.5625,MA
8,2007.0,1.4500000000000002,12.8,0.08390909090909089,3.6,0.0,18.25,10.3,MA
9,2008.0,1.48,13.2,0.077,3.0,0.0,16.6,9.85,MA
10,2009.0,1.42,12.0,0.07249999999999998,2.2,0.0,16.25,8.875,MA
11,2010.0,1.3199999999999998,11.6,0.07363636363636364,2.2,0.0,13.4,8.4125,MA
12,2011.0,1.6,13.4,0.07020000000000001,2.4,0.0,13.6,8.737499999999999,MA
13,2012.0,1.35,11.4,0.07445454545454545,2.0,0.005,14.5,8.37142857142857,MA
14,2013.0,1.1,10.8,0.0699090909090909,1.8,0.0,14.75,7.357142857142858,MA
15,2014.0,0.95,9.666666666666666,0.06230769230769233,1.0,0.0,12.333333333333336,6.9875,MA
16,2015.0,0.95,9.666666666666666,0.0652,1.0,0.0,12.75,6.800000000000002,MA
0,2016.0,0.7658686894335347,8.945516811683515,0.06446952853561418,0.6032055719585884,0.0070000000000000045,12.50618371890373,6.344702071039052,MA
1,2017.0,0.0,3.834037030033688,0.043008253500275595,0.15819350909643692,0.0,6.529338145532117,3.6026229028875045,MA
2,2018.0,0.13438489270900256,1.5123259563658165,0.04689325892340063,0.0,0.0005200000000000074,5.383198760649598,5.1271845481200495,MA
3,2019.0,0.0,0.0,0.02414676947816903,0.0,0.0,1.5774052158525005,0.0,MA
4,2020.0,0.0,0.0,0.011834787666529442,0.0,0.01034520000000002,1.5600011939857938,1.3241161950324543,MA
5,2021.0,0.0,0.0,0.011563601662991418,0.0,0.0,0.0,1.0216890152612925,MA
6,2022.0,0.0,0.0,0.006239738016275441,0.0,0.012399852000000062,0.003045968971964852,0.0,MA
7,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,1.419062173023997,MA
8,2024.0,0.0,0.0,0.0,0.0,0.028504262520000143,0.0,0.0,MA
9,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MA
