,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,4.949999999999998,22.0,0.10023076923076922,6.0,0.0,19.83333333333333,0.0,MD
1,2000.0,3.4,20.0,0.09158333333333334,6.0,0.0,22.4,15.35,MD
2,2001.0,2.85,21.0,0.09583333333333334,6.0,0.0,21.0,15.05,MD
3,2002.0,2.8,21.5,0.10191666666666667,6.0,0.0,22.33333333333333,14.516666666666666,MD
4,2003.0,2.55,22.0,0.08509090909090908,0.0,0.0,26.0,13.916666666666664,MD
5,2004.0,2.3,19.0,0.08099999999999999,5.0,0.0,25.0,14.099999999999998,MD
6,2005.0,2.2,18.5,0.08676923076923074,5.0,0.0,25.5,14.857142857142858,MD
7,2006.0,2.35,16.0,0.08630769230769228,4.0,0.0,25.0,12.885714285714288,MD
8,2007.0,1.375,12.5,0.08415384615384615,3.333333333333333,0.0,26.0,13.185714285714285,MD
9,2008.0,1.2,16.5,0.07853333333333334,2.6666666666666665,0.0,19.0,12.0,MD
10,2009.0,1.225,15.0,0.0692857142857143,2.333333333333333,0.0,15.0,10.5875,MD
11,2010.0,1.1749999999999998,15.5,0.08166666666666665,1.6666666666666667,0.0,16.0,11.333333333333336,MD
12,2011.0,1.05,15.5,0.08293333333333333,1.5,0.0,13.333333333333336,11.37142857142857,MD
13,2012.0,0.9600000000000002,12.333333333333336,0.08166666666666665,1.3333333333333333,0.0,14.0,10.44,MD
14,2013.0,0.8400000000000001,11.333333333333336,0.0682,1.0,0.0,13.0,9.23,MD
15,2014.0,0.75,11.2,0.06633333333333334,1.0,0.0,13.0,9.33,MD
16,2015.0,0.9333333333333336,11.0,0.07060000000000002,1.0,0.0,14.0,9.2,MD
0,2016.0,0.6943709072367975,9.93467910662211,0.07103889458311977,0.010699682021509171,0.0,13.32352681613118,8.400677857640988,MD
1,2017.0,0.0,1.883038379827115,0.027748078519635903,0.0,0.0,0.0,3.207299842904572,MD
2,2018.0,0.06813310816330014,2.1492890929690143,0.05079483860139762,0.0,0.0,0.0,5.628574376832551,MD
3,2019.0,0.0,0.0,0.03811819062055282,0.0,0.0,0.0,0.0,MD
4,2020.0,0.0,0.0,0.0025961115783950123,0.0,0.0,0.0,0.05118607562069988,MD
5,2021.0,0.0,0.0,0.0031663141114968395,0.0,0.0,0.0,0.9502209220814335,MD
6,2022.0,0.0,0.0,0.017678560690719894,0.0,0.0,0.0,0.0,MD
7,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MD
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MD
9,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MD
