,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,0.0,0.0,0.0798,3.0,0.0,18.83333333333333,0.0,ME
1,2000.0,0.0,10.0,0.06788888888888889,4.0,0.0,16.666666666666668,0.0,ME
2,2001.0,0.8,9.0,0.08650000000000001,3.6666666666666665,0.0,18.75,0.0,ME
3,2002.0,0.8,14.0,0.08966666666666666,3.0,0.0,16.428571428571427,0.0,ME
4,2003.0,0.65,13.0,0.074125,3.0,0.0,19.5,0.0,ME
5,2004.0,0.5,15.0,0.07222222222222223,3.0,0.0,15.0,0.0,ME
6,2005.0,0.45,17.0,0.07022222222222223,2.5,0.0,20.0,0.0,ME
7,2006.0,0.3666666666666667,7.5,0.0668,1.5,0.0,19.5,0.0,ME
8,2007.0,0.43333333333333335,3.0,0.0774,0.5,0.0,18.25,0.0,ME
9,2008.0,0.5666666666666667,7.5,0.06481818181818183,0.5,0.0,18.2,5.6,ME
10,2009.0,0.7666666666666666,6.5,0.0640909090909091,1.5,0.0,16.4,0.0,ME
11,2010.0,0.6666666666666666,6.0,0.063,0.6666666666666666,0.0,12.8,0.0,ME
12,2011.0,0.6333333333333334,5.5,0.06200000000000001,0.3333333333333333,0.0,14.333333333333336,0.0,ME
13,2012.0,0.6999999999999998,5.333333333333333,0.06254545454545456,0.6666666666666666,0.0,14.833333333333336,0.0,ME
14,2013.0,0.6999999999999998,4.666666666666667,0.06481818181818183,0.3333333333333333,0.0,13.25,0.0,ME
15,2014.0,0.5,4.5,0.0590909090909091,0.3333333333333333,0.0,11.333333333333336,8.25,ME
16,2015.0,0.5666666666666667,5.0,0.06163636363636363,0.25,0.0,12.6,7.32,ME
0,2016.0,0.6142468335743634,4.1073902086902745,0.05793582710533489,0.0,0.0,11.67866546839861,6.2404082117731825,ME
1,2017.0,0.0,0.0,0.037882127678857395,0.0,0.0,6.910974200239171,2.3653699333142923,ME
2,2018.0,0.025720671006153738,0.596846698137284,0.033767117882107206,0.0,0.0,4.243824721761383,4.851118984449138,ME
3,2019.0,0.18174940262791472,0.0,0.015264615608086816,0.0,0.0,2.970591770560351,2.994774865518469,ME
4,2020.0,0.10088847960968088,0.0,0.010467139887080078,0.0,0.0,0.5543098093275667,2.2782421682549483,ME
5,2021.0,0.0,0.0,0.00415589733085278,0.0,0.0,0.6774212954590357,2.1257434932033235,ME
6,2022.0,0.0,0.0,0.001966146612595497,0.0,0.0,0.0,2.1772752926739134,ME
7,2023.0,0.043165980899782366,0.0,0.0,0.0,0.0,0.0,1.776565787143685,ME
8,2024.0,0.027277613861207268,0.0,0.0,0.0,0.0,0.0,1.830081770383172,ME
9,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737942094558735,ME
