,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,2.6142857142857143,15.333333333333336,0.07266666666666667,1.4,0.0,28.25,0.0,MN
1,2000.0,2.542857142857143,17.0,0.06616666666666668,1.25,0.0,25.8,0.0,MN
2,2001.0,2.557142857142857,16.666666666666668,0.06920000000000001,1.2,0.0,26.2,10.32,MN
3,2002.0,2.1714285714285717,14.666666666666664,0.06766666666666668,1.4,0.0,24.66666666666667,9.457142857142856,MN
4,2003.0,2.183333333333333,9.666666666666666,0.0679,1.75,0.0,31.4,9.271428571428572,MN
5,2004.0,1.7000000000000002,8.333333333333334,0.05969230769230771,1.5,0.0,27.0,8.025,MN
6,2005.0,2.0,11.5,0.07023076923076924,1.25,0.0,26.0,9.742857142857146,MN
7,2006.0,1.6833333333333331,10.0,0.0658,1.0,0.0,24.5,8.371428571428572,MN
8,2007.0,1.5166666666666666,8.5,0.06815384615384615,1.0,0.0,25.5,9.044444444444443,MN
9,2008.0,1.2833333333333334,9.0,0.0596923076923077,0.6666666666666666,0.0,22.25,9.4875,MN
10,2009.0,1.72,8.0,0.058846153846153874,0.6666666666666666,0.0,21.2,8.850000000000003,MN
11,2010.0,1.875,7.0,0.061571428571428576,0.5,0.09666666666666668,24.5,8.642857142857142,MN
12,2011.0,1.16,8.5,0.06100000000000001,0.6666666666666666,0.0,34.666666666666664,8.6,MN
13,2012.0,1.04,6.333333333333332,0.06471428571428571,0.3333333333333333,0.0425,19.75,8.377777777777778,MN
14,2013.0,1.475,8.0,0.06200000000000001,1.0,0.043333333333333335,21.66666666666667,7.9833333333333325,MN
15,2014.0,1.02,11.0,0.06028571428571429,1.0,0.025000000000000005,23.4,7.480000000000001,MN
16,2015.0,1.175,9.666666666666666,0.05900000000000001,0.6,0.043333333333333335,24.0,6.54,MN
0,2016.0,0.8633236910862258,7.784585038945918,0.060201136224488395,0.3347385563042835,0.043692752181082296,20.410229112700307,6.940290557900651,MN
1,2017.0,0.7188492430051633,0.0,0.036807450165181485,0.0,0.045147064207436,16.989548159497613,4.151725816922553,MN
2,2018.0,0.6000181457436182,4.090682362986934,0.033702613237663284,0.2517398324978852,0.03078456281421174,20.078828262336803,1.7936351680254863,MN
3,2019.0,0.2653720495726895,2.5486752680151588,0.03542391780092282,0.27226996461060027,0.03424304479363707,12.455305064066241,1.8144157953357778,MN
4,2020.0,0.0,0.0,0.00822432284571669,0.0,0.02166392750415551,4.153334257474912,0.0,MN
5,2021.0,0.05037579100388623,0.0,0.014748704079698395,0.0,0.029484546768050297,9.292909348275906,0.940332471200052,MN
6,2022.0,0.0,2.2684394014705362,0.0016936927446771083,0.0,0.015519842630624503,4.304941362426597,0.0,MN
7,2023.0,0.0,0.0,0.01582278077640612,0.0,0.027835674545878694,2.999641240004319,0.9014270419331813,MN
8,2024.0,0.0,0.0,0.0,0.0,0.010965440401584217,0.4969541524082146,0.0,MN
9,2025.0,0.0,1.757988299843198,0.014476349905884284,0.0,0.02819950400159997,4.02126649120326,1.2722340892959494,MN
