,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,5.0,8.0,0.08555555555555555,2.333333333333333,0.0,20.0,0.0,MS
1,2000.0,3.2,7.0,0.08527272727272726,2.0,0.0,19.0,14.35,MS
2,2001.0,4.2,6.5,0.078,1.6666666666666667,0.0,18.33333333333333,12.587500000000002,MS
3,2002.0,3.0,3.0,0.07627272727272727,2.0,0.0,12.0,11.635714285714286,MS
4,2003.0,3.3,3.0,0.0778181818181818,1.0,0.0,0.0,12.183333333333332,MS
5,2004.0,2.5,3.0,0.07336363636363635,1.0,0.0,18.0,11.993333333333334,MS
6,2005.0,2.6,9.0,0.07775,1.0,0.0,0.0,13.271428571428574,MS
7,2006.0,0.0,0.0,0.08037499999999999,2.0,0.0,0.0,12.249999999999998,MS
8,2007.0,0.0,0.0,0.07522222222222222,2.0,0.0,0.0,12.654545454545454,MS
9,2008.0,0.0,6.0,0.07,0.0,0.0,0.0,11.63,MS
10,2009.0,0.0,4.0,0.06666666666666668,0.0,0.0,0.0,10.023076923076925,MS
11,2010.0,0.7,6.0,0.06966666666666667,1.0,0.0,0.0,10.766666666666666,MS
12,2011.0,1.0,5.0,0.06944444444444445,1.0,0.0,0.0,10.433333333333334,MS
13,2012.0,0.6,4.0,0.06999999999999999,1.0,0.0,0.0,0.0,MS
14,2013.0,1.5,4.0,0.0618888888888889,1.0,0.0,0.0,0.0,MS
15,2014.0,1.5,4.0,0.065,1.0,0.01,17.0,0.0,MS
16,2015.0,1.5,4.0,0.06111111111111112,0.5,0.0,0.0,8.739999999999998,MS
0,2016.0,1.3363304562804719,3.7285216444801543,0.06296453124764959,0.42485677289343726,0.011666666666666665,6.745574226365327,7.562708009630377,MS
1,2017.0,0.0,2.457613531679159,0.026847497974824625,0.15052917981051125,0.0,6.019541610165915,0.0,MS
2,2018.0,0.0,2.966964996700632,0.030079414812980543,0.4150933357740979,0.014456018518518519,1.107331835102157,0.0,MS
3,2019.0,0.0,0.8763261938430551,0.0314141618715068,0.0,0.0,1.0127966222012066,0.8050945046281321,MS
4,2020.0,0.0,0.9106212583286665,0.009077257918264164,0.0,0.032650543338477354,0.0,0.9566071878101482,MS
5,2021.0,0.0,0.5948413091990306,0.0033540955932261154,0.0,0.0,0.0,0.0,MS
6,2022.0,0.0,0.14651128398808044,0.003134282204494916,0.0,0.09015169594568039,0.0,0.0,MS
7,2023.0,0.0,0.0,0.0062695128473538655,0.0,0.0,0.0,0.0,MS
8,2024.0,0.0,0.0,0.0,0.0,0.26086822170603885,0.0,0.0,MS
9,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MS
