,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,4.666666666666667,4.0,0.058,4.2,0.0,23.818181818181817,8.0,MT
1,2000.0,4.316666666666666,3.0,0.056,5.5,0.0,23.33333333333333,9.816666666666666,MT
2,2001.0,4.316666666666666,5.0,0.053000000000000005,4.666666666666667,0.0,19.571428571428573,8.054545454545455,MT
3,2002.0,3.5,5.0,0.053500000000000006,4.333333333333333,0.0,17.727272727272727,8.254545454545454,MT
4,2003.0,3.233333333333333,2.0,0.061,3.333333333333333,0.0,19.9,11.8,MT
5,2004.0,2.8166666666666664,0.0,0.054000000000000006,4.5,0.0,19.153846153846157,8.818181818181818,MT
6,2005.0,2.75,0.0,0.0575,4.0,0.0,18.08333333333333,9.010000000000002,MT
7,2006.0,2.083333333333333,4.0,0.0605,3.0,0.0,25.222222222222218,9.7375,MT
8,2007.0,2.18,3.0,0.055500000000000015,3.0,0.0,23.4,10.011111111111113,MT
9,2008.0,2.06,0.0,0.057,3.0,0.0,21.2,8.22,MT
10,2009.0,2.16,3.0,0.057,3.0,0.0,20.33333333333333,7.811111111111112,MT
11,2010.0,1.8,2.5,0.05666666666666665,3.0,0.0,19.0,8.7,MT
12,2011.0,1.12,3.0,0.054500000000000014,1.3333333333333333,0.0,23.0,8.299999999999999,MT
13,2012.0,0.7,2.0,0.0558,1.25,0.0,24.285714285714285,10.562500000000002,MT
14,2013.0,0.7000000000000001,1.1666666666666667,0.055,1.0,0.0,15.833333333333336,7.254545454545456,MT
15,2014.0,0.75,1.6,0.05385714285714285,1.25,0.0,18.625,7.1090909090909085,MT
16,2015.0,0.8,1.2,0.05725,0.5,0.0,20.375,9.418181818181816,MT
0,2016.0,0.3899580498027247,0.8460193535554563,0.0549559067475545,0.1622537144773858,0.0,18.19324087709868,8.34014625477471,MT
1,2017.0,0.0,0.0,0.061187971633544065,0.0,0.0,6.764791429512886,6.0023883199869505,MT
2,2018.0,0.0,0.4774336271403361,0.044028289034730335,0.0,0.0,16.183063465167724,8.128763968882069,MT
3,2019.0,0.03143037986423375,0.0,0.026437966738206753,0.0,0.0,2.5002267376940503,2.1274928616997673,MT
4,2020.0,0.050270631476496075,0.0,0.034193638024134436,0.0,0.0,1.0652703916332475,3.849795239500749,MT
5,2021.0,0.0,0.0,0.011696284068744237,0.0,0.0,7.580506351760309,2.8025321450161624,MT
6,2022.0,0.0,0.0,0.02235929492415572,0.0,0.0,0.0,0.8854065647484698,MT
7,2023.0,0.0,0.0,0.007354537404989486,0.0,0.0,0.4546561376998999,1.9024767931219557,MT
8,2024.0,0.0,0.0,0.012507283248997926,0.0,0.0,3.6608588963091133,0.8343246127865965,MT
9,2025.0,0.0,0.0,0.0060204629728277835,0.0,0.0,0.0,0.4081492228386193,MT
