,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,5.3,9.0,0.07855555555555555,4.2,0.0,19.5,10.8,NH
1,2000.0,4.1,8.0,0.06475,4.0,0.0,16.571428571428573,0.0,NH
2,2001.0,4.0,7.0,0.07833333333333334,4.8,0.0,16.333333333333332,10.474999999999998,NH
3,2002.0,3.7,13.0,0.08159999999999999,4.25,0.0,16.25,9.828571428571427,NH
4,2003.0,4.0,12.0,0.07277777777777777,4.333333333333333,0.0,19.0,9.625,NH
5,2004.0,2.8,9.5,0.0725,5.0,0.0,16.0,9.2625,NH
6,2005.0,3.2,9.0,0.07275000000000001,4.666666666666667,0.0,18.0,9.999999999999998,NH
7,2006.0,3.0,9.0,0.06825,4.0,0.0,15.0,9.175,NH
8,2007.0,2.2,9.0,0.07775,4.0,0.0,13.0,9.042857142857144,NH
9,2008.0,3.5,9.0,0.069375,3.333333333333333,0.0,13.0,8.357142857142858,NH
10,2009.0,2.0,10.0,0.06514285714285714,4.0,0.0,13.0,7.750000000000001,NH
11,2010.0,2.4,8.0,0.06757142857142857,4.333333333333333,0.0,11.5,7.38,NH
12,2011.0,2.0,0.0,0.06357142857142857,3.333333333333333,0.0,9.0,8.116666666666667,NH
13,2012.0,0.9666666666666668,0.0,0.06657142857142857,1.0,0.0,10.0,7.8,NH
14,2013.0,0.6666666666666666,0.0,0.06471428571428571,1.0,0.0,16.0,7.333333333333332,NH
15,2014.0,0.4,0.0,0.064,1.0,0.0,9.0,7.133333333333334,NH
16,2015.0,0.35,3.0,0.06171428571428573,1.0,0.0,12.0,6.76,NH
0,2016.0,0.0,2.220306214590144,0.06149536891795278,0.6795239236541881,0.0,9.548198839008206,6.595150231524899,NH
1,2017.0,0.0,0.0,0.04581851346280884,0.0,0.0,9.922578855287396,1.697241471639101,NH
2,2018.0,0.0,0.0,0.03529091370754264,0.0,0.0,4.867881472252355,1.2097433736399155,NH
3,2019.0,0.0,0.0,0.01647460042617311,0.0,0.0,6.374600725551998,0.0,NH
4,2020.0,0.0,0.0,0.01564615656234363,0.0,0.0,0.0,0.0,NH
5,2021.0,0.0,0.0,0.004946717454689994,0.0,0.0,5.314983023069484,0.0,NH
6,2022.0,0.0,0.0,0.005531941290877387,0.0,0.0,0.0,0.0,NH
7,2023.0,0.0,0.0,0.0,0.0,0.0,5.726154023835665,0.0,NH
8,2024.0,0.0,0.0,0.0006322411988098266,0.0,0.0,0.0,0.0,NH
9,2025.0,0.0,0.0,0.0,0.0,0.0,8.410816036472937,0.0,NH
