,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,6.0,27.0,0.07450000000000001,1.0,0.0,45.33333333333334,10.1,NV
1,2000.0,5.025,16.5,0.0726,0.0,0.0,29.75,7.866666666666667,NV
2,2001.0,4.7250000000000005,15.0,0.0738,1.0,0.0,31.0,8.833333333333334,NV
3,2002.0,5.049999999999999,22.0,0.0762,1.0,0.0,40.0,10.4,NV
4,2003.0,4.675000000000002,21.0,0.0738,1.0,0.0,34.0,9.0,NV
5,2004.0,4.075,20.0,0.07275000000000001,2.0,0.0,33.75,8.399999999999999,NV
6,2005.0,3.675,20.0,0.07,5.0,0.0,37.66666666666666,9.5,NV
7,2006.0,3.5,21.0,0.07300000000000001,1.0,0.0,38.66666666666666,8.55,NV
8,2007.0,3.35,19.0,0.07400000000000001,0.0,0.0,36.0,9.15,NV
9,2008.0,2.675,17.5,0.07333333333333335,0.0,0.0,26.5,9.75,NV
10,2009.0,2.766666666666667,16.0,0.06520000000000001,0.0,0.0,25.33333333333333,8.5,NV
11,2010.0,2.9,14.5,0.067,0.0,0.0,28.33333333333333,6.75,NV
12,2011.0,2.766666666666667,15.0,0.06783333333333334,1.0,0.0,26.75,7.449999999999998,NV
13,2012.0,3.6,14.0,0.07033333333333333,0.5,0.0,27.75,8.85,NV
14,2013.0,2.65,15.0,0.06966666666666667,1.5,0.01,28.5,11.55,NV
15,2014.0,2.6,14.0,0.06933333333333334,0.5,0.01,25.75,8.2,NV
16,2015.0,2.3,14.5,0.07033333333333333,1.0,0.01,22.25,7.6,NV
0,2016.0,2.134467648267436,13.880284791968547,0.06968358870982531,0.9560968515824102,0.01090909090909091,22.00877183167406,8.65944026160115,NV
1,2017.0,0.3813052738850174,0.15182845278949575,0.02172248989520968,0.3560340882623098,0.0026446280991735543,0.0,6.062757881699163,NV
2,2018.0,0.11600966076436114,0.530707572847553,0.03559611304021726,0.472727080230683,0.003395942900075132,5.201122937119715,7.46585811213312,NV
3,2019.0,0.0,0.0,0.0510711426920287,0.24925545833594648,0.002501195273546889,1.44775062024104,4.134044659584832,NV
4,2020.0,0.0,0.0,0.01788921564645931,0.1717519276393274,0.0018312211659660604,0.0,1.7210758596730789,NV
5,2021.0,0.0,0.0,0.0,0.09677113536666271,0.0019604292485553704,0.0,2.4270402750948596,NV
6,2022.0,0.0,0.0,0.006564639132962392,0.11202981977409425,0.0018673423659083198,0.0,2.562704787451522,NV
7,2023.0,0.0,0.0,0.021768380455522544,0.05545657392789985,0.001814898072732522,0.0,0.411287441875962,NV
8,2024.0,0.0,0.0,0.003260498170156962,0.05406345116764917,0.0018314119250748043,0.0,0.4115529783875035,NV
9,2025.0,0.0,0.0,0.0,0.04020905667302922,0.001821448221893956,0.0,1.106056101108034,NV
