,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,5.342857142857143,0.0,0.0635,0.0,0.0,25.0,8.559999999999999,OR
1,2000.0,4.542857142857144,0.0,0.0584,0.0,0.0,25.142857142857146,8.993333333333334,OR
2,2001.0,6.514285714285713,0.0,0.0624,0.0,0.0,20.857142857142858,8.721428571428572,OR
3,2002.0,4.4714285714285715,0.0,0.0664,0.0,0.0,24.42857142857143,9.699999999999998,OR
4,2003.0,3.8142857142857145,0.0,0.0734,0.0,0.0,19.3,8.55,OR
5,2004.0,3.5571428571428565,0.0,0.06333333333333334,0.0,0.0,20.0,9.7,OR
6,2005.0,3.2,0.0,0.062,0.0,0.0,19.777777777777782,10.52,OR
7,2006.0,3.25,0.0,0.06966666666666667,2.0,0.0,19.555555555555557,10.325,OR
8,2007.0,2.5000000000000004,7.0,0.060285714285714276,1.0,0.0,18.666666666666668,8.833333333333336,OR
9,2008.0,2.2,11.0,0.06342857142857143,1.0,0.0,18.0,9.8125,OR
10,2009.0,2.1,10.0,0.064,2.0,0.0,17.8,8.85,OR
11,2010.0,1.8,9.0,0.05833333333333333,1.0,0.03,14.5,7.072727272727272,OR
12,2011.0,2.4,9.0,0.05722222222222221,0.0,0.04,13.75,8.969999999999997,OR
13,2012.0,2.1,9.0,0.06222222222222223,1.0,0.03,14.25,8.260000000000002,OR
14,2013.0,1.8,10.0,0.056333333333333326,1.0,0.0,14.333333333333336,11.04,OR
15,2014.0,1.15,8.0,0.059333333333333335,1.0,0.0,12.5,8.444444444444445,OR
16,2015.0,1.6,11.5,0.065,0.0,0.0,15.5,8.944444444444445,OR
0,2016.0,1.4081437801556902,13.60538095522847,0.05947907564560773,0.6111111111111113,0.025759265332895014,12.374815491988992,8.570899981833477,OR
1,2017.0,0.0,0.88662807148182,0.03349588490442114,0.8996913580246914,0.0285876792535069,8.514671488296699,6.571746300442698,OR
2,2018.0,0.0,1.4519194521532262,0.04832802041835789,0.2473851165980796,0.0009480680301036841,2.645339523889616,4.604440632693532,OR
3,2019.0,0.0,6.599018263063232,0.0005944891285853005,0.36943563290656944,0.0,1.7456709653065179,4.415683240939115,OR
4,2020.0,0.0,4.589425343684807,0.01901642033454029,0.43850773695363165,0.0037365177773691916,0.0,1.239771145360602,OR
5,2021.0,0.0,0.3224871105494924,0.013402953975417391,0.0839160126297535,0.028674968371972052,0.0,2.7345168142265077,OR
6,2022.0,0.0,1.3201502205595388,0.0,0.3139672852486395,0.01750609562694242,0.0,0.0,OR
7,2023.0,0.0,3.799752345183921,0.016476466139254263,0.23047767995410537,0.0,0.0,2.304086190520456,OR
8,2024.0,0.0,2.886849682452711,0.0,0.09916444569892216,0.0,0.0,0.0,OR
9,2025.0,0.0,1.19422084195148,0.0,0.2736445188562707,0.01641874698771823,0.0,2.4526464068323186,OR
