,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,2.565217391304348,17.571428571428573,0.09639285714285717,7.75,0.0,33.0,0.0,PA
1,2000.0,2.163636363636364,16.714285714285715,0.08351724137931034,6.92,0.0,39.0,15.177777777777774,PA
2,2001.0,2.2409090909090907,16.61904761904762,0.09120000000000003,8.0,0.0,23.7,15.666666666666664,PA
3,2002.0,1.95,15.0,0.0974193548387097,6.92,0.0,21.904761904761905,15.094736842105265,PA
4,2003.0,1.8285714285714287,14.909090909090908,0.084,7.28,0.0,22.809523809523807,15.195238095238093,PA
5,2004.0,1.6238095238095236,14.409090909090908,0.07690322580645162,6.346153846153847,0.0,22.0,14.471428571428568,PA
6,2005.0,1.4999999999999996,14.73913043478261,0.08459375,7.0,0.0,23.285714285714285,15.561904761904762,PA
7,2006.0,1.4952380952380953,12.590909090909092,0.077375,6.28,0.0,21.15,13.7,PA
8,2007.0,1.5095238095238093,12.5,0.08018750000000001,5.88,0.0,21.25,14.32941176470588,PA
9,2008.0,1.13,11.608695652173912,0.07784848484848488,5.0,0.0,20.35,12.836842105263155,PA
10,2009.0,1.2538461538461536,10.4375,0.0663939393939394,4.473684210526316,0.07999999999999999,17.333333333333332,11.892857142857144,PA
11,2010.0,1.2692307692307692,10.5625,0.07678787878787881,3.684210526315789,0.12571428571428572,19.0625,12.075,PA
12,2011.0,1.2,10.5625,0.07357142857142858,2.736842105263158,0.07750000000000001,17.071428571428573,11.704761904761904,PA
13,2012.0,1.1583333333333332,9.333333333333334,0.0766388888888889,2.4,0.14,17.133333333333333,11.104347826086958,PA
14,2013.0,1.1583333333333332,7.5,0.06756756756756757,2.1666666666666665,0.06777777777777777,17.0,10.84090909090909,PA
15,2014.0,1.133333333333333,7.75,0.06502702702702702,2.3,0.06454545454545456,16.46153846153846,11.378947368421054,PA
16,2015.0,1.2375,8.588235294117647,0.06942857142857144,1.7368421052631582,0.05,16.333333333333332,10.704166666666667,PA
0,2016.0,1.1811199074293908,7.000947717002266,0.06508473153473807,1.4499220411338087,0.048390453645650096,15.532768830185596,10.514727608368753,PA
1,2017.0,0.08640018748601759,2.6377993798379538,0.050031494906368636,0.0,0.01439510490699369,9.567510072550167,6.7369777827808255,PA
2,2018.0,0.021428628452680468,6.945424168909266,0.04841550415531829,0.0,0.0069776003333238655,3.0878911266708373,2.200315922702944,PA
3,2019.0,0.0,3.941317353728952,0.022263394998373612,0.0,0.0,3.148201377481951,1.8976736775648346,PA
4,2020.0,0.0,0.0,0.017274406453980862,0.0,0.004614038258025952,0.0,0.0,PA
5,2021.0,0.0,0.19333871601875607,0.011998996057701036,0.0,0.002649290801142708,1.2768329763843003,0.531590296114028,PA
6,2022.0,0.0,2.3067014302176116,0.005451266793736552,0.0,0.006935129819566873,0.0,0.0,PA
7,2023.0,0.0,0.0,0.00029005303109182895,0.0,0.0062322496986744625,1.1363608641196947,0.3148578627761278,PA
8,2024.0,0.0,0.0,7.291259201998301e-05,0.0,0.007182745068350626,0.0,0.0,PA
9,2025.0,0.0,0.33243470221296745,0.0,0.0,0.006925415753612812,1.7592973067409794,0.530015051038383,PA
