,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,9.9,0.0,0.0,0.0,0.0,36.0,0.0,PR
1,2000.0,5.8,18.0,0.047,4.5,0.0,31.6,7.3,PR
2,2001.0,4.6,7.5,0.042,2.333333333333333,0.0,25.818181818181817,7.266666666666667,PR
3,2002.0,4.3,7.0,0.0,5.0,0.0,28.0,6.666666666666668,PR
4,2003.0,4.2,0.0,0.0,1.75,0.0,28.3,6.6,PR
5,2004.0,3.6,7.0,0.0,3.2,0.0,27.66666666666667,0.0,PR
6,2005.0,3.3,0.0,0.029,2.25,0.0,31.66666666666667,6.5,PR
7,2006.0,2.9,0.0,0.026,2.0,0.0,34.333333333333336,7.159999999999998,PR
8,2007.0,3.2,0.0,0.033,1.6666666666666667,0.0,32.833333333333336,6.733333333333333,PR
9,2008.0,2.5,0.0,0.040000000000000015,2.0,0.0,24.5,5.466666666666668,PR
10,2009.0,2.45,0.0,0.0405,1.6,0.0,24.0,5.6,PR
11,2010.0,3.1,0.0,0.039,1.3333333333333333,0.25,27.6,0.0,PR
12,2011.0,2.2,0.0,0.0405,1.0,0.34,26.0,0.0,PR
13,2012.0,3.1333333333333333,20.0,0.045,2.0,0.07333333333333332,28.75,6.24,PR
14,2013.0,2.0333333333333337,0.0,0.030500000000000006,3.0,2.5,25.6,5.4750000000000005,PR
15,2014.0,3.225,0.0,0.028500000000000008,0.5,0.6866666666666665,23.0,0.0,PR
16,2015.0,1.7999999999999998,0.0,0.0335,1.0,0.0,27.66666666666667,6.166666666666668,PR
0,2016.0,2.9140803521014687,8.784686399010578,0.04023330340229066,1.5486013376280032,21.393833743208425,28.345818560780206,5.750738230594923,PR
1,2017.0,1.5544430078235456,0.9873930683035628,0.01650893146435442,1.2518342753880196,0.0,0.41639397413338375,0.0,PR
2,2018.0,0.7337296928560255,0.0,0.01014148848360702,0.24378893805986662,16.865789681947653,10.314530207145593,2.810240467860832,PR
3,2019.0,0.11766059225214776,0.0,0.013969808417837135,0.14855071989483887,143.65036271197704,11.536803817114754,1.2982698417847336,PR
4,2020.0,0.0,2.3249379327953825,0.013064893278666124,0.08411736890327448,0.0,0.0,0.0,PR
5,2021.0,0.0,0.0,0.009155705777750978,0.0,921.6849081494605,0.0,1.0494563216189774,PR
6,2022.0,0.0,0.537892124081754,0.006526777530868499,0.0,0.0,5.222627456890808,0.0,PR
7,2023.0,0.0,0.0,0.007587072724142871,0.0,0.0,0.0,0.0,PR
8,2024.0,0.17442790795075913,1.263859234228093,0.007777276304702627,0.0,15822.73247728959,0.0,0.1532010224586089,PR
9,2025.0,0.0,0.0,0.007700568957570309,0.0,0.0,1.818703327387062,0.0,PR
