,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,3.9,24.0,0.09,7.0,0.0,21.5,0.0,RI
1,2000.0,3.5,20.0,0.086,7.0,0.0,20.5,10.833333333333336,RI
2,2001.0,3.8,20.0,0.101,7.0,0.0,11.0,11.85,RI
3,2002.0,2.7,18.0,0.09699999999999999,6.0,0.0,16.5,9.033333333333333,RI
4,2003.0,2.3,19.0,0.087,6.0,0.0,18.0,10.8,RI
5,2004.0,2.5,18.0,0.08299999999999999,7.0,0.0,15.5,9.95,RI
6,2005.0,2.5,17.0,0.08833333333333332,6.0,0.0,17.5,10.6,RI
7,2006.0,2.5,15.0,0.08033333333333333,4.0,0.0,16.0,9.4,RI
8,2007.0,2.5,14.0,0.08666666666666667,4.0,0.0,14.5,10.1,RI
9,2008.0,1.0,12.0,0.07733333333333335,2.0,0.0,20.0,10.7,RI
10,2009.0,1.3,11.0,0.06766666666666668,2.0,0.0,20.0,9.0,RI
11,2010.0,1.6,10.0,0.07533333333333335,1.0,0.0,13.5,7.75,RI
12,2011.0,1.3,11.0,0.075,0.0,0.0,13.0,8.15,RI
13,2012.0,1.0,10.0,0.07766666666666668,1.0,0.0,11.5,7.25,RI
14,2013.0,1.3,10.0,0.076,1.0,0.01,14.0,7.0,RI
15,2014.0,1.7,10.0,0.06466666666666666,1.0,0.01,10.0,5.033333333333333,RI
16,2015.0,1.8,22.0,0.07266666666666667,0.0,0.01,14.5,7.400000000000001,RI
0,2016.0,1.4694197798801008,38.49450549450562,0.06927073763960864,0.0,0.01090909090909091,13.073659036556199,5.4513841004079,RI
1,2017.0,0.0,25.628921627822926,0.04119425392966576,0.0,0.0026446280991735543,4.7744271136183665,3.929520762628185,RI
2,2018.0,0.5836822553901064,0.0,0.04551656772618741,0.0,0.003395942900075132,7.742575260800012,1.3161258003348326,RI
3,2019.0,0.3641384600410678,0.0,0.020174025387188776,0.0,0.002501195273546889,2.133143890948511,1.040268733559814,RI
4,2020.0,0.0,0.0,0.012949954125297158,0.0,0.0018312211659660604,1.6085014979093408,0.0,RI
5,2021.0,0.0,0.0,0.007939423803469894,0.0,0.0019604292485553704,1.2216366815600594,0.0,RI
6,2022.0,0.0,2.4818733659608867,0.0047611957192558434,0.0,0.0018673423659083198,0.07178090859400862,0.0,RI
7,2023.0,0.0,139.25088181879045,0.0,0.0,0.001814898072732522,0.0,0.0,RI
8,2024.0,0.0,265.1119142922297,0.0,0.0,0.0018314119250748043,0.0,0.0,RI
9,2025.0,0.0,281.82475979283413,0.0,0.0,0.001821448221893956,0.0,0.0,RI
