County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
1027,"Clay County, AL",.,.,.,.,0.11,0.091,.,.,.,.,.,.,.,.
1033,"Colbert County, AL",.,.,.,.,.,.,104,17,3,.,.,.,.,.
1049,"DeKalb County, AL",.,.,.,.,.,.,.,.,.,.,.,48,23,.
1051,"Elmore County, AL",.,.,.,.,0.1,0.077,.,.,.,.,.,.,.,.
1053,"Escambia County, AL",.,.,.,.,.,.,.,.,.,.,.,53,25,.
1055,"Etowah County, AL",.,.,.,.,.,.,.,.,.,.,.,66,30,.
1071,"Jackson County, AL",.,.,.,.,.,.,163,26,5,.,.,.,.,.
1073,"Jefferson County, AL",32.3,19.8,.,.,0.13,0.097,92,57,9,53,23.4,152,49,.
1079,"Lawrence County, AL",.,.,.,.,0.1,0.092,39,11,2,.,.,.,.,.
1089,"Madison County, AL",4.7,4.3,.,.,0.11,0.093,.,.,.,31,15.6,52,24,.
1091,"Marengo County, AL",.,.,.,.,.,.,.,.,.,.,.,55,29,.
1097,"Mobile County, AL",.,.,.,.,0.1,0.079,206,41,7,41,18.3,84,45,.
1101,"Montgomery County, AL",.,.,.,.,0.11,0.092,.,.,.,45,18.9,48,24,.
1109,"Pike County, AL",.,.,.,.,.,.,.,.,.,.,.,40,22,.
1117,"Shelby County, AL",.,.,.,.,0.12,0.1,.,.,.,.,.,57,28,.
1119,"Sumter County, AL",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
1121,"Talladega County, AL",.,.,.,.,.,.,.,.,.,.,.,59,26,.
1125,"Tuscaloosa County, AL",.,.,.,.,.,.,.,.,.,41,19.6,61,28,.
1127,"Walker County, AL",.,.,.,.,.,.,.,.,.,.,.,56,25,.
2020,"Anchorage Borough, AK",13.1,7.8,.,.,.,.,.,.,.,.,.,66,19,.
2068,"Denali Borough, AK",.,.,.,.,0.06,0.054,.,.,.,.,.,.,.,.
2090,"Fairbanks North Star Borough, AK",15.7,10.3,.,.,.,.,.,.,.,.,.,.,.,.
2110,"Juneau Borough, AK",.,.,.,.,.,.,.,.,.,.,.,27,7,.
2170,"Matanuska-Susitna Borough, AK",.,.,.,.,.,.,.,.,.,.,.,149,16,.
4003,"Cochise County, AZ",.,.,.,.,0.08,0.072,.,.,.,.,.,88,34,.
4005,"Coconino County, AZ",.,.,.,.,0.09,0.076,.,.,.,.,.,31,17,.
4007,"Gila County, AZ",.,.,.,.,0.09,0.08,209,36,9,.,.,79,37,.
4013,"Maricopa County, AZ",13.5,8.1,172,40,0.12,0.091,.,.,.,30,12.2,115,59,.
4015,"Mohave County, AZ",.,.,.,.,.,.,.,.,.,.,.,63,30,.
4019,"Pima County, AZ",7.8,3.8,59,19,0.09,0.073,12,5,2,20,8.8,80,43,.
4021,"Pinal County, AZ",.,.,.,.,.,.,.,.,.,18,9.5,.,.,.
4023,"Santa Cruz County, AZ",.,.,.,.,.,.,.,.,.,39,12.5,.,.,.
4025,"Yavapai County, AZ",.,.,.,.,.,.,.,.,.,.,.,35,14,.
4027,"Yuma County, AZ",.,.,.,.,0.09,0.079,.,.,.,.,.,73,37,.
5035,"Crittenden County, AR",.,.,.,.,0.13,0.095,.,.,.,.,.,.,.,.
5097,"Montgomery County, AR",.,.,.,.,0.09,0.074,.,.,.,.,.,.,.,.
5101,"Newton County, AR",.,.,.,.,0.09,0.081,.,.,.,.,.,.,.,.
5119,"Pulaski County, AR",6,4,61,12,0.11,0.089,11,5,2,.,.,72,32,.
5139,"Union County, AR",.,.,.,.,.,.,91,22,5,.,.,.,.,.
6001,"Alameda County, CA",6.1,4.5,71,22,0.14,0.091,.,.,.,.,.,94,25,.
6005,"Amador County, CA",2.1,1.4,.,.,0.12,0.097,.,.,.,.,.,.,.,.
6007,"Butte County, CA",7.1,4,67,15,0.11,0.087,.,.,.,60,17.5,214,31,.
6009,"Calaveras County, CA",1.6,0.8,.,.,0.12,0.099,.,.,.,28,11.1,64,21,.
6011,"Colusa County, CA",.,.,.,.,0.09,0.077,.,.,.,.,.,.,.,.
6013,"Contra Costa County, CA",6.2,3.3,72,18,0.13,0.093,56,20,3,.,.,88,25,.
6015,"Del Norte County, CA",.,.,.,.,.,.,.,.,.,.,.,38,17,.
6017,"El Dorado County, CA",3.1,1.9,48,11,0.14,0.104,.,.,.,21,8.3,41,20,.
6019,"Fresno County, CA",10,7.6,93,24,0.15,0.105,.,.,.,97,23.4,127,46,.
6021,"Glenn County, CA",.,.,.,.,0.1,0.081,.,.,.,.,.,120,26,.
6023,"Humboldt County, CA",.,.,.,.,.,.,.,.,.,28,9.1,50,19,.
6025,"Imperial County, CA",20.7,14.4,102,18,0.17,0.089,27,13,2,40,15.2,174,77,.
6027,"Inyo County, CA",.,.,.,.,0.09,0.079,.,.,.,.,.,1910,51,.
6029,"Kern County, CA",5.5,4.1,89,27,0.14,0.109,.,.,.,95,26.2,141,60,.
6031,"Kings County, CA",.,.,.,16,0.13,0.098,.,.,.,.,.,148,52,.
6033,"Lake County, CA",.,.,.,.,0.09,0.07,.,.,.,.,.,.,.,.
6037,"Los Angeles County, CA",16,11.1,139,51,0.14,0.095,48,19,4,53,24.3,119,56,.
6039,"Madera County, CA",.,.,57,14,0.1,0.088,.,.,.,.,.,.,.,.
6041,"Marin County, CA",5.5,2.9,55,18,0.1,0.059,.,.,.,.,.,64,22,.
6043,"Mariposa County, CA",.,.,.,.,0.11,0.096,.,.,.,.,.,74,27,.
6045,"Mendocino County, CA",5.1,3.6,49,10,0.08,0.061,.,.,.,26,8.9,66,24,.
6047,"Merced County, CA",.,.,63,13,0.13,0.105,.,.,.,.,.,.,.,.
6049,"Modoc County, CA",.,.,.,.,.,.,.,.,.,27,7.9,73,26,.
6051,"Mono County, CA",.,.,.,.,.,.,.,.,.,.,.,30,12,.
6053,"Monterey County, CA",3.6,1.6,.,10,0.08,0.063,.,.,.,.,.,76,29,.
6055,"Napa County, CA",5.3,3.3,58,14,0.11,0.078,.,.,.,.,.,52,18,.
6057,"Nevada County, CA",.,.,.,.,0.11,0.096,.,.,.,.,.,77,25,.
6059,"Orange County, CA",11,6.2,126,35,0.11,0.077,13,5,2,.,.,73,37,.
6061,"Placer County, CA",3.9,2,73,12,0.13,0.102,.,.,.,40,13.4,91,26,.
6063,"Plumas County, CA",.,.,.,.,0.08,0.072,.,.,.,.,.,96,32,.
6065,"Riverside County, CA",7.1,4.1,141,25,0.14,0.115,18,9,2,62,26.7,116,55,.
