"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.1","0.078",".",".",".","22","10.4",".",".","."
"01027","Clay County, AL",".",".",".",".","0.09","0.081",".",".",".","40","13.4",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.09","0.076",".",".",".","35","13.5",".",".","."
"01049","DeKalb County, AL",".",".",".",".",".",".",".",".",".","30","13.9",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"01053","Escambia County, AL",".",".",".",".",".",".",".",".",".","31","13.3",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.09","0.075",".",".",".",".",".",".",".","."
"01069","Houston County, AL",".",".",".",".","0.08","0.071",".",".",".","46","13.5",".",".","."
"01073","Jefferson County, AL","18.7","8.6",".",".","0.12","0.095","50","10","3","49","20.3","233","56","."
"01079","Lawrence County, AL",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"01089","Madison County, AL",".",".",".",".","0.1","0.082",".",".",".","34","14.3","62","23","."
"01097","Mobile County, AL",".",".",".",".","0.1","0.081",".",".",".","24","11.5","53","29","."
"01101","Montgomery County, AL",".",".",".",".","0.09","0.08",".",".",".",".",".","44","25","."
"01103","Morgan County, AL",".",".",".",".","0.1","0.081",".",".",".","40","14.4",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"01113","Russell County, AL",".",".",".",".","0.09","0.079",".",".",".","48","15.5",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.11","0.094",".",".",".","40","14.9",".",".","."
