,CO,County Code,Lead,NO2,Ozone,PM10,PM2.5,SO2,State,Year
0,9.05,2091.6,,,0.054000000000000006,14.0,,,AK,1999.0
1,12.05,1083.5263157894738,,,0.08822222222222222,29.076923076923077,19.159999999999997,5.2,AL,1999.0
2,4.0,5098.2,,12.0,0.08475,32.0,,3.5,AR,1999.0
3,5.949999999999999,4015.8,,29.5,0.07850000000000001,33.875,10.75,5.5,AZ,1999.0
4,4.2628571428571425,6057.518518518518,,19.685714285714287,0.08755102040816326,32.91304347826087,17.036363636363635,2.2857142857142856,CA,1999.0
5,4.375,8060.789473684211,,15.666666666666666,0.07169999999999999,25.533333333333335,6.9,3.5,CO,1999.0
6,4.133333333333334,9007.0,,20.666666666666668,0.10028571428571428,22.0,17.2,5.666666666666667,CT,1999.0
7,3.0,10003.0,,18.0,0.09966666666666667,,13.833333333333334,7.0,DE,1999.0
8,3.8125000000000004,12072.0,,12.444444444444445,0.07999999999999999,21.956521739130434,11.424999999999999,3.5,FL,1999.0
9,3.55,13140.09090909091,,14.5,0.09980000000000001,26.11111111111111,21.900000000000002,3.1666666666666665,GA,1999.0
10,2.1,15004.333333333334,,4.0,0.046,17.5,5.0,5.5,HI,1999.0
11,2.75,19133.166666666668,,,0.07355555555555555,33.25,,5.6,IA,1999.0
12,5.133333333333334,16044.6,,21.0,0.068,26.285714285714285,8.36,5.5,ID,1999.0
13,3.1833333333333336,17107.956521739132,,20.0,0.085,27.7,17.122222222222224,5.357142857142857,IL,1999.0
14,3.04,18086.931034482757,,14.666666666666666,0.09165000000000002,27.285714285714285,16.5,6.642857142857143,IN,1999.0
15,2.9,20140.777777777777,,4.0,0.07966666666666666,32.0,12.100000000000001,4.0,KS,1999.0
16,2.3875,21115.129032258064,,13.8,0.09214285714285715,25.428571428571427,17.5,6.3,KY,1999.0
17,3.9,22059.956521739132,,11.3,0.0864,27.0,14.341666666666667,3.8333333333333335,LA,1999.0
18,4.325,25013.6,,19.5,0.09066666666666666,24.333333333333332,12.75,5.833333333333333,MA,1999.0
19,4.949999999999999,24057.071428571428,,22.0,0.10023076923076922,19.833333333333332,,6.0,MD,1999.0
20,,23088.333333333332,,,0.0798,18.833333333333332,,3.0,ME,1999.0
21,3.3000000000000003,26082.0,,18.0,0.09219047619047618,23.666666666666668,12.883333333333335,3.8333333333333335,MI,1999.0
22,2.6142857142857143,27092.454545454544,,15.333333333333334,0.07266666666666667,28.25,,1.4,MN,1999.0
23,3.6400000000000006,29135.266666666666,,16.833333333333332,0.08881818181818181,24.333333333333332,13.358333333333333,4.454545454545454,MO,1999.0
24,5.0,28062.8,,8.0,0.08555555555555555,20.0,,2.3333333333333335,MS,1999.0
25,4.666666666666667,30056.53846153846,,4.0,0.057999999999999996,23.818181818181817,8.0,4.2,MT,1999.0
26,3.6999999999999993,37094.318181818184,,17.0,0.09100000000000001,23.6875,15.362499999999999,5.25,NC,1999.0
27,,38049.72727272727,,3.3333333333333335,0.06066666666666667,12.5,7.300000000000001,1.7777777777777777,ND,1999.0
28,7.25,31059.0,,,0.0665,38.666666666666664,10.6,,NE,1999.0
29,5.3,33010.0,,9.0,0.07855555555555555,19.5,10.8,4.2,NH,1999.0
30,4.355555555555556,34017.875,,24.285714285714285,0.10276923076923078,27.666666666666668,12.9,5.0,NJ,1999.0
31,2.6599999999999993,35029.307692307695,,11.0,0.07366666666666667,22.2,5.75,3.4,NM,1999.0
32,6.0,32098.166666666668,,27.0,0.07450000000000001,45.333333333333336,10.100000000000001,1.0,NV,1999.0
33,3.327272727272728,36060.44827586207,,29.8,0.09028000000000003,13.333333333333334,,5.1,NY,1999.0
34,2.777777777777778,39091.55319148936,,23.5,0.09276470588235297,25.8,16.728571428571428,6.454545454545454,OH,1999.0
35,2.183333333333333,40076.230769230766,,11.0,0.08412499999999999,,,5.0,OK,1999.0
36,5.3428571428571425,41037.53333333333,,,0.0635,25.0,8.559999999999999,,OR,1999.0
37,2.5652173913043477,42061.84848484849,,17.571428571428573,0.09639285714285717,33.0,,7.75,PA,1999.0
38,9.9,72089.8,,,,36.0,,,PR,1999.0
39,3.9,44006.333333333336,,24.0,0.09,21.5,,7.0,RI,1999.0
40,4.166666666666667,45043.92307692308,,10.75,0.08883333333333335,23.857142857142858,14.85,1.8,SC,1999.0
41,,46071.0,,,0.064,24.666666666666668,9.8,,SD,1999.0
42,3.216666666666667,47107.42857142857,,15.333333333333334,0.09776470588235293,29.272727272727273,17.46666666666667,6.0,TN,1999.0
43,4.0249999999999995,48230.72727272727,,14.363636363636363,0.09154545454545455,32.7,,3.75,TX,1999.0
44,5.08,49032.333333333336,,24.5,0.07583333333333335,35.0,9.924999999999999,3.0,UT,1999.0
45,3.2249999999999996,51283.030303030304,,17.77777777777778,0.09255555555555556,19.571428571428573,,5.125,VA,1999.0
46,,78015.0,,,0.046,,,1.0,VI,1999.0
47,2.25,50013.5,,14.5,0.0805,17.666666666666668,9.649999999999999,3.5,VT,1999.0
48,5.685714285714285,53044.46666666667,,19.0,0.05770000000000001,22.545454545454547,9.959999999999999,1.0,WA,1999.0
49,1.9000000000000004,55079.903225806454,,22.0,0.08944444444444445,20.2,11.866666666666667,3.8,WI,1999.0
50,3.3000000000000003,54051.166666666664,,,0.09300000000000001,24.428571428571427,16.785714285714285,11.875,WV,1999.0
51,,56020.6,,,0.071,25.875,7.55,,WY,1999.0
0,7.2,2091.6,,,0.044000000000000004,19.0,8.425,,AK,2000.0
1,9.3,1077.2857142857142,,,0.08839999999999999,25.857142857142858,17.533333333333335,6.0,AL,2000.0
2,2.9,5102.6,,10.0,0.08199999999999999,29.0,14.366666666666667,3.5,AR,2000.0
3,5.95,4015.8,,26.5,0.074,34.875,9.883333333333335,3.6666666666666665,AZ,2000.0
4,3.802777777777779,6058.584905660377,,18.058823529411764,0.08339583333333335,32.795918367346935,14.058620689655172,2.4,CA,2000.0
5,4.0375,8061.173913043478,,17.25,0.07263636363636362,24.61904761904762,8.666666666666668,2.5,CO,2000.0
6,4.3,9007.0,,20.0,0.08457142857142856,22.4,14.175,5.0,CT,2000.0
7,2.6,10003.0,,,0.09433333333333334,26.0,14.433333333333332,7.0,DE,2000.0
8,3.2625,12069.633333333333,,12.2,0.07917391304347825,22.68421052631579,11.187499999999998,3.357142857142857,FL,2000.0
9,2.9000000000000004,13142.785714285714,,13.5,0.09405263157894739,27.8,17.76923076923077,3.3333333333333335,GA,2000.0
10,2.0,15004.333333333334,,5.0,0.0435,20.5,4.9,5.0,HI,2000.0
11,3.35,19114.444444444445,,,0.07289999999999999,27.333333333333332,10.583333333333334,3.142857142857143,IA,2000.0
12,3.7999999999999994,16044.733333333334,,,0.068,31.46153846153846,9.711111111111114,5.5,ID,2000.0
13,2.5166666666666666,17111.24,,19.666666666666668,0.07485,29.5,15.433333333333335,4.8,IL,2000.0
14,3.1399999999999997,18085.8,,14.0,0.0828076923076923,24.4375,15.746153846153845,6.882352941176471,IN,2000.0
15,3.8,20149.0,,10.5,0.08180000000000001,25.285714285714285,11.883333333333335,2.6666666666666665,KS,2000.0
16,2.075,21113.25,,13.4,0.08239285714285714,24.3,16.036363636363635,5.3,KY,2000.0
17,3.8,22061.8,,11.857142857142858,0.08947619047619046,24.0,13.507142857142856,3.3333333333333335,LA,2000.0
18,3.2249999999999996,25014.0,,19.5,0.07725,21.75,10.25,4.833333333333333,MA,2000.0
19,3.4,24057.071428571428,,20.0,0.09158333333333334,22.4,15.35,6.0,MD,2000.0
20,,23088.333333333332,,10.0,0.06788888888888889,16.666666666666668,,4.0,ME,2000.0
21,2.8,26084.727272727272,,13.0,0.0769,25.25,13.909090909090908,3.3333333333333335,MI,2000.0
22,2.542857142857143,27094.6,,17.0,0.06616666666666667,25.8,,1.25,MN,2000.0
23,3.6800000000000006,29128.222222222223,,13.428571428571429,0.08554545454545454,23.571428571428573,13.421428571428573,4.222222222222222,MO,2000.0
24,3.2,28063.4,,7.0,0.08527272727272726,19.0,14.35,2.0,MS,2000.0
25,4.316666666666666,30058.85714285714,,3.0,0.055999999999999994,23.333333333333332,9.816666666666666,5.5,MT,2000.0
26,3.5,37093.217391304344,,18.0,0.08554545454545452,22.347826086956523,15.404166666666667,4.142857142857143,NC,2000.0
27,,38049.0,,3.3333333333333335,0.05739999999999999,9.666666666666666,6.757142857142857,1.7,ND,2000.0
28,2.95,31088.5,,,0.0645,47.0,9.366666666666667,,NE,2000.0
29,4.1,33011.0,,8.0,0.06475,16.571428571428573,,4.0,NH,2000.0
30,3.8125,34019.23529411765,,23.142857142857142,0.09449999999999999,29.8,14.233333333333334,5.3,NJ,2000.0
31,2.38,35029.769230769234,,11.2,0.07533333333333334,22.6,7.500000000000001,1.2,NM,2000.0
32,5.025,32099.5,,16.5,0.0726,29.75,7.866666666666667,0.0,NV,2000.0
33,2.766666666666666,36061.4,,27.166666666666668,0.07630769230769233,14.4,13.033333333333333,4.75,NY,2000.0
34,3.4625000000000004,39092.066666666666,,22.5,0.08348387096774193,27.181818181818183,17.123076923076923,6.090909090909091,OH,2000.0
35,2.1333333333333333,40072.15789473684,,9.5,0.08463636363636363,23.0,10.936363636363636,4.4,OK,2000.0
36,4.542857142857143,41039.470588235294,,,0.058399999999999994,25.142857142857142,8.993333333333334,,OR,2000.0
37,2.1636363636363636,42063.875,,16.714285714285715,0.08351724137931034,39.0,15.177777777777777,6.92,PA,2000.0
38,5.8,72068.66666666667,,18.0,0.047,31.6,7.3,4.5,PR,2000.0
39,3.5,44006.333333333336,,20.0,0.086,20.5,10.833333333333334,7.0,RI,2000.0
40,3.3333333333333335,45043.96296296296,,9.0,0.08358823529411763,27.333333333333332,15.2,2.4,SC,2000.0
41,,46071.0,,,0.0635,22.5,,,SD,2000.0
42,3.825,47110.03448275862,,15.571428571428571,0.0918421052631579,30.2,16.472727272727273,5.714285714285714,TN,2000.0
43,3.5875,48222.166666666664,,10.923076923076923,0.08863636363636364,31.1,11.836363636363636,3.0,TX,2000.0
44,4.640000000000001,49032.25,,23.0,0.08633333333333333,31.0,9.66,3.0,UT,2000.0
45,3.085714285714286,51329.0,,16.0,0.0798421052631579,21.071428571428573,14.546153846153846,5.333333333333333,VA,2000.0
46,,78015.0,,,0.047,,,6.0,VI,2000.0
47,2.25,50013.5,,11.0,0.07,15.75,9.75,5.0,VT,2000.0
48,5.3999999999999995,53042.8,,21.0,0.058100000000000006,23.23076923076923,10.345454545454546,,WA,2000.0
49,2.25,55080.65517241379,,21.0,0.0756923076923077,17.6,11.006250000000001,4.666666666666667,WI,2000.0
50,5.166666666666667,54050.625,,,0.07985714285714286,22.857142857142858,15.675000000000002,11.125,WV,2000.0
51,,56021.0,,,0.065,22.818181818181817,8.375,,WY,2000.0
0,7.050000000000001,2091.6,,,0.055,15.0,6.539999999999999,,AK,2001.0
1,24.3,1080.904761904762,,,0.07891666666666665,25.083333333333332,13.918181818181818,3.6666666666666665,AL,2001.0
2,2.2,5094.2307692307695,,11.0,0.0775,,12.9,2.5,AR,2001.0
3,4.75,4015.2,,27.0,0.07216666666666667,36.285714285714285,10.0,4.333333333333333,AZ,2001.0
4,3.372222222222222,6056.88679245283,,17.21212121212121,0.08419148936170216,31.625,13.377142857142857,2.25,CA,2001.0
5,3.5874999999999995,8058.181818181818,,22.666666666666668,0.07036363636363636,25.666666666666668,8.461538461538462,3.5,CO,2001.0
6,3.3666666666666667,9007.0,,22.666666666666668,0.09833333333333333,22.2,14.533333333333331,6.0,CT,2001.0
7,2.5,10003.0,,,0.09366666666666668,,15.299999999999999,6.0,DE,2001.0
8,3.1125,12070.84375,,10.5,0.07775,22.65,10.122222222222222,2.8461538461538463,FL,2001.0
9,3.55,13138.931034482759,,13.0,0.08233333333333333,22.5,16.284615384615385,2.8,GA,2001.0
10,1.9,15004.333333333334,,5.0,0.03950000000000001,20.5,4.5,2.0,HI,2001.0
11,3.25,19111.333333333332,,,0.06839999999999999,27.272727272727273,11.346153846153847,1.8333333333333333,IA,2001.0
12,3.9333333333333336,16043.5,,,,26.266666666666666,10.4,5.0,ID,2001.0
13,3.14,17107.846153846152,,25.5,0.07718181818181818,27.75,14.857142857142858,4.583333333333333,IL,2001.0
14,2.875,18087.571428571428,,14.6,0.08237037037037037,22.76923076923077,15.342857142857142,6.333333333333333,IN,2001.0
15,2.35,20149.0,,9.0,0.0782,23.285714285714285,11.450000000000001,1.5,KS,2001.0
16,1.7999999999999998,21118.6,,13.777777777777779,0.07886206896551724,22.7,15.02222222222222,4.555555555555555,KY,2001.0
17,4.2,22063.166666666668,,11.714285714285714,0.07804761904761905,26.5,12.453846153846154,3.1666666666666665,LA,2001.0
18,2.775,25013.8,,15.666666666666666,0.09566666666666665,15.0,12.2,4.833333333333333,MA,2001.0
19,2.8499999999999996,24057.071428571428,,21.0,0.09583333333333334,21.0,15.05,6.0,MD,2001.0
20,0.8,23086.5,,9.0,0.08650000000000001,18.75,,3.6666666666666665,ME,2001.0
21,3.0500000000000003,26080.30769230769,,18.0,0.08875000000000002,29.0,13.452941176470588,4.0,MI,2001.0
22,2.557142857142857,27087.545454545456,,16.666666666666668,0.06920000000000001,26.2,10.319999999999999,1.2,MN,2001.0
23,3.6399999999999997,29130.41176470588,,13.142857142857142,0.07909090909090909,27.571428571428573,13.353846153846156,3.0,MO,2001.0
24,4.2,28065.777777777777,,6.5,0.078,18.333333333333332,12.587500000000002,1.6666666666666667,MS,2001.0
25,4.316666666666666,30062.53846153846,,5.0,0.053000000000000005,19.571428571428573,8.054545454545455,4.666666666666667,MT,2001.0
26,2.7444444444444445,37095.583333333336,,16.5,0.08420588235294117,21.25,13.692592592592595,3.6,NC,2001.0
27,,38040.09090909091,,3.75,0.05875,14.666666666666666,7.0,1.5555555555555556,ND,2001.0
28,3.9,31052.0,,,0.056999999999999995,37.666666666666664,8.6,,NE,2001.0
29,4.0,33010.0,,7.0,0.07833333333333334,16.333333333333332,10.474999999999998,4.8,NH,2001.0
30,3.4888888888888894,34017.875,,22.857142857142858,0.09853846153846155,27.5,,5.3,NJ,2001.0
31,2.6999999999999997,35027.166666666664,,11.25,0.07133333333333335,19.3,7.242857142857143,1.6,NM,2001.0
32,4.7250000000000005,32099.5,,15.0,0.0738,31.0,8.833333333333334,1.0,NV,2001.0
33,2.3363636363636364,36060.22580645161,,26.833333333333332,0.08784,13.833333333333334,12.735,5.222222222222222,NY,2001.0
34,3.45,39086.52173913043,,23.0,0.08765624999999999,24.48,16.566666666666666,5.826086956521739,OH,2001.0
35,1.9285714285714288,40076.82608695652,,9.75,0.07799999999999999,27.571428571428573,10.561111111111112,3.142857142857143,OK,2001.0
36,6.514285714285714,41038.666666666664,,,0.0624,20.857142857142858,8.721428571428572,,OR,2001.0
37,2.2409090909090907,42061.705882352944,,16.61904761904762,0.09120000000000002,23.7,15.666666666666666,8.0,PA,2001.0
38,4.6,72071.93333333333,,7.5,0.042,25.818181818181817,7.266666666666666,2.3333333333333335,PR,2001.0
39,3.8,44006.333333333336,,20.0,0.10099999999999999,11.0,11.850000000000001,7.0,RI,2001.0
40,3.233333333333333,45042.793103448275,,8.8,0.07988888888888888,25.428571428571427,12.853846153846153,2.142857142857143,SC,2001.0
41,,46065.0,,,0.066,23.0,8.72,,SD,2001.0
42,3.9250000000000003,47109.1935483871,,14.666666666666666,0.08335000000000001,29.5,14.699999999999998,5.142857142857143,TN,2001.0
43,3.55,48235.5,,10.642857142857142,0.08184615384615387,25.833333333333332,11.55625,2.6666666666666665,TX,2001.0
44,3.7400000000000007,49029.0,,23.333333333333332,0.076,33.0,11.3,3.0,UT,2001.0
45,3.014285714285714,51318.08108108108,,16.1,0.08779999999999999,19.0,13.956249999999997,4.75,VA,2001.0
46,,78020.0,,,0.043,,,,VI,2001.0
47,2.2,50013.5,,13.0,0.0795,16.25,10.65,5.0,VT,2001.0
48,4.914285714285714,53044.882352941175,,22.0,0.060000000000000005,23.8,8.874999999999998,2.5,WA,2001.0
49,2.025,55076.2,,16.0,0.08432142857142862,21.5,11.106666666666666,4.0,WI,2001.0
50,4.266666666666667,54050.625,,,0.08399999999999999,25.571428571428573,15.6,10.222222222222221,WV,2001.0
51,0.4,56021.666666666664,,,0.0675,23.818181818181817,8.75,,WY,2001.0
0,5.800000000000001,2091.6,,,0.055,16.0,6.82,,AK,2002.0
1,6.699999999999999,1083.6666666666667,,,0.08193333333333333,26.25,13.419999999999998,2.5,AL,2002.0
2,5.2,5086.0,,15.0,0.08575,,11.424999999999999,3.0,AR,2002.0
3,4.05,4013.8888888888887,,26.0,0.08083333333333333,42.833333333333336,9.475,4.333333333333333,AZ,2002.0
4,3.0388888888888883,6057.038461538462,,16.823529411764707,0.08814285714285716,34.15555555555556,14.519444444444446,1.6666666666666667,CA,2002.0
5,3.4,8060.818181818182,,21.5,0.07550000000000001,26.866666666666667,8.035714285714286,3.5,CO,2002.0
6,3.5333333333333337,9007.0,,20.333333333333332,0.10357142857142856,20.2,14.200000000000001,5.0,CT,2002.0
7,2.2,10003.0,,19.0,0.09700000000000002,23.0,14.5,6.0,DE,2002.0
8,3.0374999999999996,12068.911764705883,,10.0,0.06953333333333335,19.789473684210527,9.370000000000001,2.7857142857142856,FL,2002.0
9,2.1666666666666665,13143.4,,11.5,0.08994736842105262,19.875,14.222222222222221,2.5,GA,2002.0
10,1.8,15004.333333333334,,5.0,0.042499999999999996,17.5,4.75,5.5,HI,2002.0
11,2.05,19111.333333333332,,8.5,0.071,25.615384615384617,10.669230769230769,2.4285714285714284,IA,2002.0
12,2.6,16036.866666666667,,9.0,0.07350000000000001,25.125,9.500000000000002,5.5,ID,2002.0
13,2.66,17107.846153846152,,24.5,0.08668181818181818,27.0,14.13888888888889,4.0,IL,2002.0
14,3.475,18088.121951219513,,14.4,0.09740740740740741,21.785714285714285,14.956250000000002,5.882352941176471,IN,2002.0
15,1.975,20149.0,,8.0,0.07120000000000001,24.0,11.4,1.6666666666666667,KS,2002.0
16,2.9,21113.303030303032,,12.5,0.0883103448275862,21.11111111111111,14.415384615384616,3.6666666666666665,KY,2002.0
17,3.6500000000000004,22061.8,,10.857142857142858,0.0738095238095238,22.6,10.821428571428571,3.5,LA,2002.0
